ACTION START 1200 0 START
ACTION QUERY 1200 10 cooperation iran iraq
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1437418
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 995766
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1492011
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 201524
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 377502
ACTION DOC 1200 35 EXAMINING_DOCUMENT 377502
ACTION MARK 1200 38 CONSIDERED_RELEVANT 377502
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 1612912
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 74398
ACTION DOC 1200 58 EXAMINING_DOCUMENT 74398
ACTION MARK 1200 61 CONSIDERED_RELEVANT 74398
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 487745
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 46898
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 441983
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 105369
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 376665
ACTION DOC 1200 81 EXAMINING_DOCUMENT 376665
ACTION MARK 1200 84 CONSIDERED_RELEVANT 376665
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1847394
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1847394
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1847394
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 429519
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 38246
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 1757166
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 411189
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 107765
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 383271
ACTION DOC 1200 127 EXAMINING_DOCUMENT 383271
ACTION MARK 1200 130 CONSIDERED_RELEVANT 383271
ACTION QUERY 1200 140 cooperation iran query
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 429519
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1352895
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 107665
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 51700
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1778653
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 555700
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 201524
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 173622
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1835814
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1063432
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1413020
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 107778
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1564964
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1762382
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 52115
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 161331
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 756044
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1572419
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 487745
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 807966
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 23564
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1376575
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1590176
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1631260
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1527259
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1538179
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1411330
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1629251
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1370713
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1590458
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1624997
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 108839
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1766795
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1566417
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1760197
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1412833
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1534535
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1503350
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1757887
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1525336
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1757165
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1825052
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 995766
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 922205
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1589555
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1591355
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1492011
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1814833
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 448638
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 648548
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1097755
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 556064
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 83859
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 52726
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1709276
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1654131
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1565884
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 508449
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1437418
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1590331
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 549762
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 483954
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1597705
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 63088
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1026401
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 466667
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 107765
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 411189
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 615684
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 754257
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 60924
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1093051
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 105369
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 434625
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 46898
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1760611
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1778640
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 508208
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 555096
