ACTION START 1200 0 START
ACTION QUERY 1200 10 overseas tobacco sales
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 925900
ACTION DOC 1200 35 EXAMINING_DOCUMENT 925900
ACTION MARK 1200 38 CONSIDERED_RELEVANT 925900
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 170810
ACTION DOC 1200 58 EXAMINING_DOCUMENT 170810
ACTION MARK 1200 61 CONSIDERED_RELEVANT 170810
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 1812174
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 1011152
ACTION DOC 1200 81 EXAMINING_DOCUMENT 1011152
ACTION MARK 1200 84 CONSIDERED_RELEVANT 1011152
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1091527
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1091527
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1091527
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 956512
ACTION DOC 1200 127 EXAMINING_DOCUMENT 956512
ACTION MARK 1200 130 CONSIDERED_RELEVANT 956512
ACTION QUERY 1200 140 overseas tobacco health
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 925900
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 170810
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 364097
ACTION DOC 1200 165 EXAMINING_DOCUMENT 364097
ACTION MARK 1200 168 CONSIDERED_RELEVANT 364097
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 1319617
ACTION DOC 1200 188 EXAMINING_DOCUMENT 1319617
ACTION MARK 1200 191 CONSIDERED_RELEVANT 1319617
ACTION SNIPPET 1200 191 SEEN_PREVIOUSLY 1011152
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 1219714
ACTION DOC 1200 211 EXAMINING_DOCUMENT 1219714
ACTION MARK 1200 214 CONSIDERED_RELEVANT 1219714
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 733006
ACTION DOC 1200 234 EXAMINING_DOCUMENT 733006
ACTION MARK 1200 237 CONSIDERED_RELEVANT 733006
ACTION SNIPPET 1200 237 SEEN_PREVIOUSLY 956512
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT 995863
ACTION DOC 1200 257 EXAMINING_DOCUMENT 995863
ACTION MARK 1200 260 CONSIDERED_RELEVANT 995863
ACTION QUERY 1200 270 overseas tobacco companies
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 1812174
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 925900
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 170810
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 885830
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 242437
ACTION DOC 1200 295 EXAMINING_DOCUMENT 242437
ACTION MARK 1200 298 CONSIDERED_RELEVANT 242437
ACTION SNIPPET 1200 298 SEEN_PREVIOUSLY 956512
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT 241188
ACTION DOC 1200 318 EXAMINING_DOCUMENT 241188
ACTION MARK 1200 321 CONSIDERED_RELEVANT 241188
ACTION SNIPPET 1200 321 SEEN_PREVIOUSLY 1011152
ACTION SNIPPET 1200 321 SEEN_PREVIOUSLY 1091527
ACTION SNIPPET 1200 321 SNIPPET_RELEVANT 1091321
ACTION DOC 1200 341 EXAMINING_DOCUMENT 1091321
ACTION MARK 1200 344 CONSIDERED_RELEVANT 1091321
ACTION SNIPPET 1200 344 SNIPPET_NOT_RELEVANT 1589656
ACTION SNIPPET 1200 344 SEEN_PREVIOUSLY 1319617
ACTION SNIPPET 1200 344 SEEN_PREVIOUSLY 364097
ACTION SNIPPET 1200 344 SNIPPET_RELEVANT 814188
ACTION DOC 1200 364 EXAMINING_DOCUMENT 814188
ACTION MARK 1200 367 CONSIDERED_RELEVANT 814188
ACTION SNIPPET 1200 367 SEEN_PREVIOUSLY 995863
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 948180
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 1346449
ACTION SNIPPET 1200 367 SNIPPET_RELEVANT 776073
ACTION DOC 1200 387 EXAMINING_DOCUMENT 776073
ACTION MARK 1200 390 CONSIDERED_RELEVANT 776073
ACTION QUERY 1200 400 overseas tobacco caused
ACTION SERP 1200 405 EXAMINE_SERP
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 241188
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 925900
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 1812174
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 995863
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 885830
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 170810
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 364097
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 776073
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 360393
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 1011152
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 772808
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 756177
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 956512
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 242437
ACTION SNIPPET 1200 405 SNIPPET_RELEVANT 1080807
ACTION DOC 1200 425 EXAMINING_DOCUMENT 1080807
ACTION MARK 1200 428 CONSIDERED_RELEVANT 1080807
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY 1091527
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 1589656
ACTION SNIPPET 1200 428 SNIPPET_RELEVANT 988744
ACTION DOC 1200 448 EXAMINING_DOCUMENT 988744
