ACTION START 1200 0 START
ACTION QUERY 1200 10 wildlife extinction species
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 392703
ACTION DOC 1200 35 EXAMINING_DOCUMENT 392703
ACTION MARK 1200 38 CONSIDERED_RELEVANT 392703
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 681074
ACTION DOC 1200 58 EXAMINING_DOCUMENT 681074
ACTION MARK 1200 61 CONSIDERED_RELEVANT 681074
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 399409
ACTION DOC 1200 81 EXAMINING_DOCUMENT 399409
ACTION MARK 1200 84 CONSIDERED_RELEVANT 399409
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 96243
ACTION DOC 1200 104 EXAMINING_DOCUMENT 96243
ACTION MARK 1200 107 CONSIDERED_RELEVANT 96243
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 201759
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 54033
ACTION DOC 1200 127 EXAMINING_DOCUMENT 54033
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 611274
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1321173
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1321173
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1321173
ACTION QUERY 1200 160 wildlife extinction prevent
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 611274
ACTION DOC 1200 185 EXAMINING_DOCUMENT 611274
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1237417
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1237417
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1237417
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 772137
ACTION DOC 1200 228 EXAMINING_DOCUMENT 772137
ACTION MARK 1200 231 CONSIDERED_RELEVANT 772137
ACTION SNIPPET 1200 231 SEEN_PREVIOUSLY 681074
ACTION SNIPPET 1200 231 SEEN_PREVIOUSLY 392703
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1684972
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1684972
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1684972
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1783812
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1124706
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 405513
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 904995
ACTION DOC 1200 274 EXAMINING_DOCUMENT 904995
ACTION MARK 1200 277 CONSIDERED_RELEVANT 904995
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 291608
ACTION SNIPPET 1200 277 SEEN_PREVIOUSLY 399409
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1566885
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 296393
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 976278
ACTION DOC 1200 297 EXAMINING_DOCUMENT 976278
ACTION MARK 1200 300 CONSIDERED_RELEVANT 976278
ACTION QUERY 1200 310 wildlife extinction countries
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 296393
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 372898
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 1665449
ACTION DOC 1200 335 EXAMINING_DOCUMENT 1665449
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 1256461
ACTION SNIPPET 1200 335 SEEN_PREVIOUSLY 976278
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 201759
ACTION DOC 1200 355 EXAMINING_DOCUMENT 201759
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 257571
ACTION DOC 1200 375 EXAMINING_DOCUMENT 257571
ACTION SNIPPET 1200 375 SEEN_PREVIOUSLY 681074
ACTION SNIPPET 1200 375 SEEN_PREVIOUSLY 96243
ACTION SNIPPET 1200 375 SEEN_PREVIOUSLY 392703
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 154117
ACTION DOC 1200 395 EXAMINING_DOCUMENT 154117
ACTION MARK 1200 398 CONSIDERED_RELEVANT 154117
ACTION SNIPPET 1200 398 SNIPPET_RELEVANT 135270
ACTION DOC 1200 418 EXAMINING_DOCUMENT 135270
ACTION SNIPPET 1200 418 SNIPPET_RELEVANT 679949
ACTION DOC 1200 438 EXAMINING_DOCUMENT 679949
ACTION QUERY 1200 448 wildlife extinction efforts
ACTION SERP 1200 453 EXAMINE_SERP
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 392703
ACTION SNIPPET 1200 453 SNIPPET_NOT_RELEVANT 1124706
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT 225523
ACTION DOC 1200 473 EXAMINING_DOCUMENT 225523
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 18289
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY 54033
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY 96243
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 372898
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY 681074
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY 257571
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 221456
ACTION SNIPPET 1200 473 SNIPPET_RELEVANT 397695
ACTION DOC 1200 493 EXAMINING_DOCUMENT 397695
ACTION MARK 1200 496 CONSIDERED_RELEVANT 397695
ACTION SNIPPET 1200 496 SNIPPET_RELEVANT 1235795
ACTION DOC 1200 516 EXAMINING_DOCUMENT 1235795
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 815512
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 1256461
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 1528157
ACTION SNIPPET 1200 516 SNIPPET_RELEVANT 1562600
ACTION DOC 1200 536 EXAMINING_DOCUMENT 1562600
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT 48307
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT 1237486
ACTION SNIPPET 1200 536 SNIPPET_RELEVANT 1783097
ACTION DOC 1200 556 EXAMINING_DOCUMENT 1783097
ACTION MARK 1200 559 CONSIDERED_RELEVANT 1783097
ACTION SNIPPET 1200 559 SNIPPET_RELEVANT 497482
ACTION DOC 1200 579 EXAMINING_DOCUMENT 497482
ACTION QUERY 1200 589 wildlife extinction spotted
ACTION SERP 1200 594 EXAMINE_SERP
ACTION SNIPPET 1200 594 SEEN_PREVIOUSLY 225523
ACTION SNIPPET 1200 594 SEEN_PREVIOUSLY 392703
