ACTION START 1200 0 START
ACTION QUERY 1200 10 wildlife extinction
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 681074
ACTION DOC 1200 35 EXAMINING_DOCUMENT 681074
ACTION MARK 1200 38 CONSIDERED_RELEVANT 681074
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 392703
ACTION DOC 1200 58 EXAMINING_DOCUMENT 392703
ACTION MARK 1200 61 CONSIDERED_RELEVANT 392703
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 1124706
ACTION DOC 1200 81 EXAMINING_DOCUMENT 1124706
ACTION MARK 1200 84 CONSIDERED_RELEVANT 1124706
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 291608
ACTION DOC 1200 104 EXAMINING_DOCUMENT 291608
ACTION MARK 1200 107 CONSIDERED_RELEVANT 291608
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 399409
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1566885
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1566885
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 296393
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 976278
ACTION DOC 1200 147 EXAMINING_DOCUMENT 976278
ACTION MARK 1200 150 CONSIDERED_RELEVANT 976278
ACTION QUERY 1200 160 species conservation
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 1820802
ACTION DOC 1200 185 EXAMINING_DOCUMENT 1820802
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1048384
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1048384
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1048384
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 1184266
ACTION DOC 1200 228 EXAMINING_DOCUMENT 1184266
ACTION MARK 1200 231 CONSIDERED_RELEVANT 1184266
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1008453
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1008453
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1008453
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1008555
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 590888
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 736157
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 1178407
ACTION DOC 1200 274 EXAMINING_DOCUMENT 1178407
ACTION MARK 1200 277 CONSIDERED_RELEVANT 1178407
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 762874
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 594703
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 594562
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 594698
ACTION DOC 1200 297 EXAMINING_DOCUMENT 594698
ACTION MARK 1200 300 CONSIDERED_RELEVANT 594698
ACTION QUERY 1200 310 endangered animals
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 538409
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 762383
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 392703
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 576813
ACTION DOC 1200 335 EXAMINING_DOCUMENT 576813
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 951259
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 69439
ACTION DOC 1200 355 EXAMINING_DOCUMENT 69439
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 1349653
ACTION DOC 1200 375 EXAMINING_DOCUMENT 1349653
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 772001
ACTION DOC 1200 395 EXAMINING_DOCUMENT 772001
