ACTION START 1200 0 START
ACTION QUERY 1200 10 ocean remote sensing
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1719498
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1719498
ACTION SNIPPET 1200 35 SNIPPET_RELEVANT 64937
ACTION DOC 1200 55 EXAMINING_DOCUMENT 64937
ACTION SNIPPET 1200 55 SNIPPET_RELEVANT 866933
ACTION DOC 1200 75 EXAMINING_DOCUMENT 866933
ACTION SNIPPET 1200 75 SNIPPET_RELEVANT 1350333
ACTION DOC 1200 95 EXAMINING_DOCUMENT 1350333
ACTION MARK 1200 98 CONSIDERED_RELEVANT 1350333
ACTION SNIPPET 1200 98 SNIPPET_RELEVANT 114396
ACTION DOC 1200 118 EXAMINING_DOCUMENT 114396
ACTION SNIPPET 1200 118 SNIPPET_RELEVANT 1320501
ACTION DOC 1200 138 EXAMINING_DOCUMENT 1320501
ACTION MARK 1200 141 CONSIDERED_RELEVANT 1320501
ACTION QUERY 1200 151 space-borne oceanography
ACTION SERP 1200 156 EXAMINE_SERP
ACTION SNIPPET 1200 156 SNIPPET_RELEVANT 294211
ACTION DOC 1200 176 EXAMINING_DOCUMENT 294211
ACTION SNIPPET 1200 176 SNIPPET_RELEVANT 1103101
ACTION DOC 1200 196 EXAMINING_DOCUMENT 1103101
ACTION SNIPPET 1200 196 SNIPPET_RELEVANT 217564
ACTION DOC 1200 216 EXAMINING_DOCUMENT 217564
ACTION SNIPPET 1200 216 SNIPPET_RELEVANT 1302819
ACTION DOC 1200 236 EXAMINING_DOCUMENT 1302819
ACTION SNIPPET 1200 236 SNIPPET_RELEVANT 570267
ACTION DOC 1200 256 EXAMINING_DOCUMENT 570267
ACTION SNIPPET 1200 256 SNIPPET_RELEVANT 31566
ACTION DOC 1200 276 EXAMINING_DOCUMENT 31566
ACTION QUERY 1200 286 ocean satellite remote sensing
ACTION SERP 1200 291 EXAMINE_SERP
ACTION SNIPPET 1200 291 SEEN_PREVIOUSLY 64937
ACTION SNIPPET 1200 291 SEEN_PREVIOUSLY 114396
ACTION SNIPPET 1200 291 SEEN_PREVIOUSLY 1350333
ACTION SNIPPET 1200 291 SNIPPET_RELEVANT 232367
ACTION DOC 1200 311 EXAMINING_DOCUMENT 232367
ACTION SNIPPET 1200 311 SNIPPET_RELEVANT 28217
ACTION DOC 1200 331 EXAMINING_DOCUMENT 28217
ACTION SNIPPET 1200 331 SEEN_PREVIOUSLY 1320501
ACTION SNIPPET 1200 331 SNIPPET_RELEVANT 1115489
ACTION DOC 1200 351 EXAMINING_DOCUMENT 1115489
ACTION MARK 1200 354 CONSIDERED_RELEVANT 1115489
ACTION SNIPPET 1200 354 SNIPPET_RELEVANT 227798
ACTION DOC 1200 374 EXAMINING_DOCUMENT 227798
ACTION SNIPPET 1200 374 SNIPPET_RELEVANT 573021
ACTION DOC 1200 394 EXAMINING_DOCUMENT 573021
ACTION MARK 1200 397 CONSIDERED_RELEVANT 573021
ACTION SNIPPET 1200 397 SNIPPET_RELEVANT 1165605
ACTION DOC 1200 417 EXAMINING_DOCUMENT 1165605
ACTION QUERY 1200 427 space-borne oceanography
ACTION SERP 1200 432 EXAMINE_SERP
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 294211
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 1103101
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 217564
