ACTION START 1200 0 START
ACTION QUERY 1200 10 modern piracy incidents
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1651936
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1651936
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1651936
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1722166
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1722166
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1722166
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 1405091
ACTION DOC 1200 81 EXAMINING_DOCUMENT 1405091
ACTION SNIPPET 1200 81 SNIPPET_RELEVANT 154480
ACTION DOC 1200 101 EXAMINING_DOCUMENT 154480
ACTION SNIPPET 1200 101 SNIPPET_RELEVANT 1355523
ACTION DOC 1200 121 EXAMINING_DOCUMENT 1355523
ACTION SNIPPET 1200 121 SNIPPET_RELEVANT 1785315
ACTION DOC 1200 141 EXAMINING_DOCUMENT 1785315
ACTION QUERY 1200 151 Somalia pirate attacks
ACTION SERP 1200 156 EXAMINE_SERP
ACTION SNIPPET 1200 156 SNIPPET_RELEVANT 1717015
ACTION DOC 1200 176 EXAMINING_DOCUMENT 1717015
ACTION MARK 1200 179 CONSIDERED_RELEVANT 1717015
ACTION SNIPPET 1200 179 SNIPPET_RELEVANT 1773531
ACTION DOC 1200 199 EXAMINING_DOCUMENT 1773531
ACTION MARK 1200 202 CONSIDERED_RELEVANT 1773531
ACTION SNIPPET 1200 202 SNIPPET_RELEVANT 1684140
ACTION DOC 1200 222 EXAMINING_DOCUMENT 1684140
ACTION MARK 1200 225 CONSIDERED_RELEVANT 1684140
ACTION SNIPPET 1200 225 SEEN_PREVIOUSLY 1722166
ACTION SNIPPET 1200 225 SNIPPET_RELEVANT 1707215
ACTION DOC 1200 245 EXAMINING_DOCUMENT 1707215
ACTION MARK 1200 248 CONSIDERED_RELEVANT 1707215
ACTION SNIPPET 1200 248 SNIPPET_RELEVANT 1709373
ACTION DOC 1200 268 EXAMINING_DOCUMENT 1709373
ACTION MARK 1200 271 CONSIDERED_RELEVANT 1709373
ACTION QUERY 1200 281 Somalia piracy
ACTION SERP 1200 286 EXAMINE_SERP
ACTION SNIPPET 1200 286 SEEN_PREVIOUSLY 1722166
ACTION SNIPPET 1200 286 SNIPPET_RELEVANT 1702546
ACTION DOC 1200 306 EXAMINING_DOCUMENT 1702546
ACTION MARK 1200 309 CONSIDERED_RELEVANT 1702546
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 1773531
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 1717015
ACTION SNIPPET 1200 309 SNIPPET_RELEVANT 1838909
ACTION DOC 1200 329 EXAMINING_DOCUMENT 1838909
