ACTION START 1200 0 START
ACTION QUERY 1200 10 hydrogen energy research
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1497519
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1497519
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1497519
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1497518
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1497518
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1497518
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 379451
ACTION DOC 1200 81 EXAMINING_DOCUMENT 379451
ACTION MARK 1200 84 CONSIDERED_RELEVANT 379451
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 755544
ACTION DOC 1200 104 EXAMINING_DOCUMENT 755544
ACTION MARK 1200 107 CONSIDERED_RELEVANT 755544
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 1843730
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1462427
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1462427
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 296707
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1461542
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1461542
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1461542
ACTION QUERY 1200 160 hydrogen energy status
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 579370
ACTION DOC 1200 185 EXAMINING_DOCUMENT 579370
ACTION SNIPPET 1200 185 SEEN_PREVIOUSLY 379451
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1843716
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1843716
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1843716
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 1742839
ACTION DOC 1200 228 EXAMINING_DOCUMENT 1742839
ACTION MARK 1200 231 CONSIDERED_RELEVANT 1742839
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 758337
ACTION DOC 1200 251 EXAMINING_DOCUMENT 758337
ACTION MARK 1200 254 CONSIDERED_RELEVANT 758337
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1556630
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1534757
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1507525
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY 755544
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY 1497519
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 1843730
ACTION DOC 1200 274 EXAMINING_DOCUMENT 1843730
ACTION MARK 1200 277 CONSIDERED_RELEVANT 1843730
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1630634
ACTION SNIPPET 1200 277 SEEN_PREVIOUSLY 1461542
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1470357
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 296707
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 148627
ACTION DOC 1200 297 EXAMINING_DOCUMENT 148627
ACTION MARK 1200 300 CONSIDERED_RELEVANT 148627
ACTION QUERY 1200 310 hydrogen energy feasible
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 1766951
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 15160
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 129405
ACTION DOC 1200 335 EXAMINING_DOCUMENT 129405
ACTION SNIPPET 1200 335 SEEN_PREVIOUSLY 1843730
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 1332723
ACTION SNIPPET 1200 335 SEEN_PREVIOUSLY 379451
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 545869
ACTION DOC 1200 355 EXAMINING_DOCUMENT 545869
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 920349
ACTION DOC 1200 375 EXAMINING_DOCUMENT 920349
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 1532615
ACTION DOC 1200 395 EXAMINING_DOCUMENT 1532615
ACTION MARK 1200 398 CONSIDERED_RELEVANT 1532615
ACTION SNIPPET 1200 398 SNIPPET_RELEVANT 218766
ACTION DOC 1200 418 EXAMINING_DOCUMENT 218766
ACTION SNIPPET 1200 418 SNIPPET_RELEVANT 690820
ACTION DOC 1200 438 EXAMINING_DOCUMENT 690820
ACTION QUERY 1200 448 hydrogen energy source
ACTION SERP 1200 453 EXAMINE_SERP
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 1742839
ACTION SNIPPET 1200 453 SNIPPET_NOT_RELEVANT 756936
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 758337
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 1497519
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 1461542
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT 1470357
ACTION DOC 1200 473 EXAMINING_DOCUMENT 1470357
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 1507525
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 1534757
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY 1843716
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 1432263
ACTION SNIPPET 1200 473 SNIPPET_RELEVANT 1431029
ACTION DOC 1200 493 EXAMINING_DOCUMENT 1431029
ACTION MARK 1200 496 CONSIDERED_RELEVANT 1431029
ACTION SNIPPET 1200 496 SNIPPET_RELEVANT 425563
ACTION DOC 1200 516 EXAMINING_DOCUMENT 425563
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 296707
ACTION SNIPPET 1200 516 SEEN_PREVIOUSLY 1497518
ACTION SNIPPET 1200 516 SEEN_PREVIOUSLY 1843730
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 158543
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 236405
ACTION SNIPPET 1200 516 SEEN_PREVIOUSLY 755544
ACTION SNIPPET 1200 516 SNIPPET_RELEVANT 1469877
ACTION DOC 1200 536 EXAMINING_DOCUMENT 1469877
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT 1704683
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT 1677826
ACTION SNIPPET 1200 536 SNIPPET_RELEVANT 1146931
ACTION DOC 1200 556 EXAMINING_DOCUMENT 1146931
ACTION MARK 1200 559 CONSIDERED_RELEVANT 1146931
ACTION SNIPPET 1200 559 SNIPPET_RELEVANT 1630634
ACTION DOC 1200 579 EXAMINING_DOCUMENT 1630634
ACTION QUERY 1200 589 hydrogen energy describe
ACTION SERP 1200 594 EXAMINE_SERP
ACTION SNIPPET 1200 594 SEEN_PREVIOUSLY 1843716
ACTION SNIPPET 1200 594 SEEN_PREVIOUSLY 1742839
ACTION SNIPPET 1200 594 SEEN_PREVIOUSLY 758337
ACTION SNIPPET 1200 594 SNIPPET_RELEVANT 1556630
ACTION DOC 1200 614 EXAMINING_DOCUMENT 1556630
ACTION MARK 1200 617 CONSIDERED_RELEVANT 1556630
ACTION SNIPPET 1200 617 SNIPPET_NOT_RELEVANT 1534757
ACTION SNIPPET 1200 617 SNIPPET_RELEVANT 1507525
ACTION DOC 1200 637 EXAMINING_DOCUMENT 1507525
ACTION MARK 1200 640 CONSIDERED_RELEVANT 1507525
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 755544
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 1497519
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 1843730
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 1630634
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 1461542
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 1470357
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 379451
ACTION SNIPPET 1200 640 SNIPPET_NOT_RELEVANT 296707
ACTION SNIPPET 1200 640 SEEN_PREVIOUSLY 148627
ACTION SNIPPET 1200 640 SNIPPET_RELEVANT 756936
ACTION DOC 1200 660 EXAMINING_DOCUMENT 756936
ACTION MARK 1200 663 CONSIDERED_RELEVANT 756936
ACTION SNIPPET 1200 663 SNIPPET_NOT_RELEVANT 1848545
ACTION SNIPPET 1200 663 SNIPPET_NOT_RELEVANT 286579
ACTION SNIPPET 1200 663 SEEN_PREVIOUSLY 1497518
ACTION SNIPPET 1200 663 SNIPPET_NOT_RELEVANT 69938
ACTION SNIPPET 1200 663 SNIPPET_RELEVANT 1432263
ACTION DOC 1200 683 EXAMINING_DOCUMENT 1432263
ACTION MARK 1200 686 CONSIDERED_RELEVANT 1432263
ACTION SNIPPET 1200 686 SNIPPET_RELEVANT 478414
ACTION DOC 1200 706 EXAMINING_DOCUMENT 478414
ACTION MARK 1200 709 CONSIDERED_RELEVANT 478414
ACTION QUERY 1200 719 hydrogen energy progress
ACTION SERP 1200 724 EXAMINE_SERP
ACTION SNIPPET 1200 724 SNIPPET_RELEVANT 559415
ACTION DOC 1200 744 EXAMINING_DOCUMENT 559415
ACTION SNIPPET 1200 744 SEEN_PREVIOUSLY 1461542
ACTION SNIPPET 1200 744 SEEN_PREVIOUSLY 1432263
ACTION SNIPPET 1200 744 SEEN_PREVIOUSLY 1469877
ACTION SNIPPET 1200 744 SNIPPET_NOT_RELEVANT 1677826
ACTION SNIPPET 1200 744 SNIPPET_NOT_RELEVANT 1634314
ACTION SNIPPET 1200 744 SNIPPET_NOT_RELEVANT 1353760
ACTION SNIPPET 1200 744 SNIPPET_RELEVANT 135571
ACTION DOC 1200 764 EXAMINING_DOCUMENT 135571
ACTION MARK 1200 767 CONSIDERED_RELEVANT 135571
ACTION SNIPPET 1200 767 SEEN_PREVIOUSLY 1146931
ACTION SNIPPET 1200 767 SEEN_PREVIOUSLY 1843716
ACTION SNIPPET 1200 767 SEEN_PREVIOUSLY 1742839
ACTION SNIPPET 1200 767 SEEN_PREVIOUSLY 758337
ACTION SNIPPET 1200 767 SNIPPET_RELEVANT 1113570
ACTION DOC 1200 787 EXAMINING_DOCUMENT 1113570
ACTION SNIPPET 1200 787 SEEN_PREVIOUSLY 1556630
ACTION SNIPPET 1200 787 SNIPPET_RELEVANT 1534757
ACTION DOC 1200 807 EXAMINING_DOCUMENT 1534757
ACTION SNIPPET 1200 807 SEEN_PREVIOUSLY 1507525
ACTION SNIPPET 1200 807 SEEN_PREVIOUSLY 755544
ACTION SNIPPET 1200 807 SNIPPET_RELEVANT 1830395
ACTION DOC 1200 827 EXAMINING_DOCUMENT 1830395
ACTION SNIPPET 1200 827 SEEN_PREVIOUSLY 1497519
ACTION SNIPPET 1200 827 SEEN_PREVIOUSLY 1843730
ACTION SNIPPET 1200 827 SNIPPET_NOT_RELEVANT 1460906
ACTION SNIPPET 1200 827 SNIPPET_RELEVANT 1149745
ACTION DOC 1200 847 EXAMINING_DOCUMENT 1149745
ACTION MARK 1200 850 CONSIDERED_RELEVANT 1149745
ACTION QUERY 1200 860 hydrogen energy controlled
ACTION SERP 1200 865 EXAMINE_SERP
ACTION SNIPPET 1200 865 SNIPPET_RELEVANT 1466613
ACTION DOC 1200 885 EXAMINING_DOCUMENT 1466613
ACTION MARK 1200 888 CONSIDERED_RELEVANT 1466613
ACTION SNIPPET 1200 888 SNIPPET_NOT_RELEVANT 1704683
ACTION SNIPPET 1200 888 SEEN_PREVIOUSLY 1461542
ACTION SNIPPET 1200 888 SEEN_PREVIOUSLY 1497518
ACTION SNIPPET 1200 888 SNIPPET_NOT_RELEVANT 69938
ACTION SNIPPET 1200 888 SNIPPET_RELEVANT 286579
ACTION DOC 1200 908 EXAMINING_DOCUMENT 286579
ACTION SNIPPET 1200 908 SEEN_PREVIOUSLY 559415
ACTION SNIPPET 1200 908 SNIPPET_NOT_RELEVANT 296707
ACTION SNIPPET 1200 908 SEEN_PREVIOUSLY 379451
ACTION SNIPPET 1200 908 SNIPPET_NOT_RELEVANT 236405
ACTION SNIPPET 1200 908 SNIPPET_RELEVANT 1031965
ACTION DOC 1200 928 EXAMINING_DOCUMENT 1031965
ACTION SNIPPET 1200 928 SNIPPET_NOT_RELEVANT 234393
ACTION SNIPPET 1200 928 SEEN_PREVIOUSLY 1843716
ACTION SNIPPET 1200 928 SEEN_PREVIOUSLY 1742839
ACTION SNIPPET 1200 928 SEEN_PREVIOUSLY 758337
ACTION SNIPPET 1200 928 SNIPPET_RELEVANT 796353
