ACTION START 1200 0 START
ACTION QUERY 1200 10 euro opposition
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1087520
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1087520
ACTION SNIPPET 1200 35 SNIPPET_RELEVANT 1136043
ACTION DOC 1200 55 EXAMINING_DOCUMENT 1136043
ACTION SNIPPET 1200 55 SNIPPET_RELEVANT 1075464
ACTION DOC 1200 75 EXAMINING_DOCUMENT 1075464
ACTION MARK 1200 78 CONSIDERED_RELEVANT 1075464
ACTION SNIPPET 1200 78 SNIPPET_RELEVANT 1356046
ACTION DOC 1200 98 EXAMINING_DOCUMENT 1356046
ACTION MARK 1200 101 CONSIDERED_RELEVANT 1356046
ACTION SNIPPET 1200 101 SNIPPET_RELEVANT 1489276
ACTION DOC 1200 121 EXAMINING_DOCUMENT 1489276
ACTION MARK 1200 124 CONSIDERED_RELEVANT 1489276
ACTION SNIPPET 1200 124 SNIPPET_RELEVANT 1466058
ACTION DOC 1200 144 EXAMINING_DOCUMENT 1466058
ACTION MARK 1200 147 CONSIDERED_RELEVANT 1466058
ACTION QUERY 1200 157 anti euro movement
ACTION SERP 1200 162 EXAMINE_SERP
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 1466058
ACTION SNIPPET 1200 162 SNIPPET_RELEVANT 1494879
ACTION DOC 1200 182 EXAMINING_DOCUMENT 1494879
ACTION MARK 1200 185 CONSIDERED_RELEVANT 1494879
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1300092
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1300092
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1300092
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 1447216
ACTION DOC 1200 228 EXAMINING_DOCUMENT 1447216
ACTION MARK 1200 231 CONSIDERED_RELEVANT 1447216
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1298730
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1298730
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1298730
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 1232926
ACTION DOC 1200 274 EXAMINING_DOCUMENT 1232926
ACTION SNIPPET 1200 274 SNIPPET_RELEVANT 1500712
ACTION DOC 1200 294 EXAMINING_DOCUMENT 1500712
ACTION QUERY 1200 304 anti euro countries
ACTION SERP 1200 309 EXAMINE_SERP
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 1494879
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 1298730
ACTION SNIPPET 1200 309 SNIPPET_RELEVANT 1115509
ACTION DOC 1200 329 EXAMINING_DOCUMENT 1115509
ACTION MARK 1200 332 CONSIDERED_RELEVANT 1115509
ACTION SNIPPET 1200 332 SNIPPET_RELEVANT 1229484
ACTION DOC 1200 352 EXAMINING_DOCUMENT 1229484
ACTION MARK 1200 355 CONSIDERED_RELEVANT 1229484
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 1234338
ACTION DOC 1200 375 EXAMINING_DOCUMENT 1234338
ACTION MARK 1200 378 CONSIDERED_RELEVANT 1234338
ACTION SNIPPET 1200 378 SNIPPET_RELEVANT 1303583
ACTION DOC 1200 398 EXAMINING_DOCUMENT 1303583
ACTION MARK 1200 401 CONSIDERED_RELEVANT 1303583
ACTION SNIPPET 1200 401 SEEN_PREVIOUSLY 1356046
ACTION SNIPPET 1200 401 SNIPPET_RELEVANT 1232358
ACTION DOC 1200 421 EXAMINING_DOCUMENT 1232358
ACTION MARK 1200 424 CONSIDERED_RELEVANT 1232358
ACTION QUERY 1200 434 UK euro decision
ACTION SERP 1200 439 EXAMINE_SERP
ACTION SNIPPET 1200 439 SNIPPET_RELEVANT 1221642
ACTION DOC 1200 459 EXAMINING_DOCUMENT 1221642
ACTION SNIPPET 1200 459 SNIPPET_RELEVANT 1826939
ACTION DOC 1200 479 EXAMINING_DOCUMENT 1826939
ACTION SNIPPET 1200 479 SNIPPET_RELEVANT 1841939
ACTION DOC 1200 499 EXAMINING_DOCUMENT 1841939
ACTION SNIPPET 1200 499 SNIPPET_RELEVANT 1816874
ACTION DOC 1200 519 EXAMINING_DOCUMENT 1816874
ACTION SNIPPET 1200 519 SNIPPET_RELEVANT 1727265
ACTION DOC 1200 539 EXAMINING_DOCUMENT 1727265
ACTION SNIPPET 1200 539 SNIPPET_RELEVANT 1835363
ACTION DOC 1200 559 EXAMINING_DOCUMENT 1835363
ACTION QUERY 1200 569 UK euro resistance
ACTION SERP 1200 574 EXAMINE_SERP
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1826939
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1221642
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1841939
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1816874
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1727265
ACTION SNIPPET 1200 574 SEEN_PREVIOUSLY 1835363
ACTION SNIPPET 1200 574 SNIPPET_RELEVANT 1746042
ACTION DOC 1200 594 EXAMINING_DOCUMENT 1746042
ACTION SNIPPET 1200 594 SNIPPET_RELEVANT 1754970
ACTION DOC 1200 614 EXAMINING_DOCUMENT 1754970
ACTION SNIPPET 1200 614 SNIPPET_RELEVANT 1787126
ACTION DOC 1200 634 EXAMINING_DOCUMENT 1787126
ACTION SNIPPET 1200 634 SNIPPET_RELEVANT 1802237
ACTION DOC 1200 654 EXAMINING_DOCUMENT 1802237
ACTION SNIPPET 1200 654 SNIPPET_RELEVANT 1851650
ACTION DOC 1200 674 EXAMINING_DOCUMENT 1851650
ACTION SNIPPET 1200 674 SNIPPET_RELEVANT 1713418
ACTION DOC 1200 694 EXAMINING_DOCUMENT 1713418
ACTION QUERY 1200 704 euro skepticism
ACTION SERP 1200 709 EXAMINE_SERP
ACTION SNIPPET 1200 709 SEEN_PREVIOUSLY 1447216
ACTION SNIPPET 1200 709 SNIPPET_RELEVANT 1232116
ACTION DOC 1200 729 EXAMINING_DOCUMENT 1232116
ACTION SNIPPET 1200 729 SNIPPET_RELEVANT 1494904
ACTION DOC 1200 749 EXAMINING_DOCUMENT 1494904
ACTION MARK 1200 752 CONSIDERED_RELEVANT 1494904
ACTION SNIPPET 1200 752 SNIPPET_RELEVANT 1233413
ACTION DOC 1200 772 EXAMINING_DOCUMENT 1233413
ACTION SNIPPET 1200 772 SNIPPET_RELEVANT 1074623
ACTION DOC 1200 792 EXAMINING_DOCUMENT 1074623
ACTION MARK 1200 795 CONSIDERED_RELEVANT 1074623
ACTION SNIPPET 1200 795 SNIPPET_RELEVANT 895293
ACTION DOC 1200 815 EXAMINING_DOCUMENT 895293
ACTION MARK 1200 818 CONSIDERED_RELEVANT 895293
ACTION SNIPPET 1200 818 SNIPPET_RELEVANT 1515073
ACTION DOC 1200 838 EXAMINING_DOCUMENT 1515073
ACTION MARK 1200 841 CONSIDERED_RELEVANT 1515073
ACTION QUERY 1200 851 Britain eurozone
ACTION SERP 1200 856 EXAMINE_SERP
ACTION SNIPPET 1200 856 SNIPPET_RELEVANT 1486454
ACTION DOC 1200 876 EXAMINING_DOCUMENT 1486454
ACTION MARK 1200 879 CONSIDERED_RELEVANT 1486454
ACTION SNIPPET 1200 879 SNIPPET_RELEVANT 1519966
ACTION DOC 1200 899 EXAMINING_DOCUMENT 1519966
ACTION MARK 1200 902 CONSIDERED_RELEVANT 1519966
ACTION SNIPPET 1200 902 SEEN_PREVIOUSLY 1494904
ACTION SNIPPET 1200 902 SEEN_PREVIOUSLY 1515073
ACTION SNIPPET 1200 902 SNIPPET_RELEVANT 1516745
ACTION DOC 1200 922 EXAMINING_DOCUMENT 1516745
ACTION SNIPPET 1200 922 SNIPPET_RELEVANT 1519841
ACTION DOC 1200 942 EXAMINING_DOCUMENT 1519841
ACTION MARK 1200 945 CONSIDERED_RELEVANT 1519841
ACTION SNIPPET 1200 945 SNIPPET_RELEVANT 1494761
ACTION DOC 1200 965 EXAMINING_DOCUMENT 1494761
ACTION SNIPPET 1200 965 SNIPPET_RELEVANT 1563881
ACTION DOC 1200 985 EXAMINING_DOCUMENT 1563881
ACTION QUERY 1200 995 euro opposition UK
ACTION SERP 1200 1000 EXAMINE_SERP
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1826939
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1221642
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1841939
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1816874
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1727265
ACTION SNIPPET 1200 1000 SEEN_PREVIOUSLY 1835363
ACTION SNIPPET 1200 1000 SNIPPET_RELEVANT 1539658
ACTION DOC 1200 1020 EXAMINING_DOCUMENT 1539658
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1746042
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1754970
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1787126
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1802237
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1087520
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1851650
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1136043
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1075464
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1713418
ACTION SNIPPET 1200 1020 SEEN_PREVIOUSLY 1356046
ACTION SNIPPET 1200 1020 SNIPPET_RELEVANT 1756310
ACTION DOC 1200 1040 EXAMINING_DOCUMENT 1756310
ACTION SNIPPET 1200 1040 SEEN_PREVIOUSLY 1489276
ACTION SNIPPET 1200 1040 SEEN_PREVIOUSLY 1466058
ACTION SNIPPET 1200 1040 SNIPPET_RELEVANT 1644299
ACTION DOC 1200 1060 EXAMINING_DOCUMENT 1644299
ACTION SNIPPET 1200 1060 SNIPPET_RELEVANT 1230643
ACTION DOC 1200 1080 EXAMINING_DOCUMENT 1230643
ACTION MARK 1200 1083 CONSIDERED_RELEVANT 1230643
ACTION SNIPPET 1200 1083 SNIPPET_RELEVANT 994363
ACTION DOC 1200 1103 EXAMINING_DOCUMENT 994363
ACTION MARK 1200 1106 CONSIDERED_RELEVANT 994363
ACTION SNIPPET 1200 1106 SNIPPET_RELEVANT 1253140
ACTION DOC 1200 1126 EXAMINING_DOCUMENT 1253140
ACTION QUERY 1200 1136 UK euro adoption
ACTION SERP 1200 1141 EXAMINE_SERP
ACTION SNIPPET 1200 1141 SEEN_PREVIOUSLY 1221642
ACTION SNIPPET 1200 1141 SNIPPET_RELEVANT 1483494
ACTION DOC 1200 1161 EXAMINING_DOCUMENT 1483494
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1826939
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1841939
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1816874
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1727265
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1835363
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1746042
ACTION SNIPPET 1200 1161 SEEN_PREVIOUSLY 1754970
ACTION SNIPPET 1200 1161 SNIPPET_RELEVANT 1568624
ACTION DOC 1200 1181 EXAMINING_DOCUMENT 1568624
ACTION MARK 1200 1184 CONSIDERED_RELEVANT 1568624
ACTION SNIPPET 1200 1184 SEEN_PREVIOUSLY 1787126
ACTION SNIPPET 1200 1184 SNIPPET_RELEVANT 1489036
ACTION DOC 1200 1204 EXAMINING_DOCUMENT 1489036
INFO SUMMARY 
INFO TOTAL_QUERIES_ISSUED 9
INFO TOTAL_SNIPPETS_EXAMINED 90
INFO TOTAL_DOCUMENTS_EXAMINED 50
INFO TOTAL_DOCUMENTS_MARKED_RELEVANT 24
INFO TOTAL_ATTRACTIVE_SERP_IMPRESSIONS 9
INFO TOTAL_UNATTRACTIVE_SERP_IMPRESSIONS 0
