ACTION START 1200 0 START
ACTION QUERY 1200 10 Tropical storm damage
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 726701
ACTION DOC 1200 35 EXAMINING_DOCUMENT 726701
ACTION MARK 1200 38 CONSIDERED_RELEVANT 726701
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1604408
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1604408
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1604408
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 254456
ACTION DOC 1200 81 EXAMINING_DOCUMENT 254456
ACTION MARK 1200 84 CONSIDERED_RELEVANT 254456
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 271487
ACTION DOC 1200 104 EXAMINING_DOCUMENT 271487
ACTION MARK 1200 107 CONSIDERED_RELEVANT 271487
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1142353
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1142353
ACTION MARK 1200 130 CONSIDERED_RELEVANT 1142353
ACTION QUERY 1200 140 Hurricane destruction
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 179637
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 6243
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 6243
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 28216
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1710182
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1139747
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 557141
ACTION DOC 1200 165 EXAMINING_DOCUMENT 557141
ACTION MARK 1200 168 CONSIDERED_RELEVANT 557141
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 190838
ACTION DOC 1200 188 EXAMINING_DOCUMENT 190838
ACTION MARK 1200 191 CONSIDERED_RELEVANT 190838
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1603820
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1048534
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1615343
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1851947
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 180399
ACTION DOC 1200 211 EXAMINING_DOCUMENT 180399
ACTION MARK 1200 214 CONSIDERED_RELEVANT 180399
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 1703583
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 795575
ACTION DOC 1200 234 EXAMINING_DOCUMENT 795575
ACTION MARK 1200 237 CONSIDERED_RELEVANT 795575
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT 795349
ACTION DOC 1200 257 EXAMINING_DOCUMENT 795349
ACTION MARK 1200 260 CONSIDERED_RELEVANT 795349
ACTION QUERY 1200 270 Typhoon casualties
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 806480
ACTION DOC 1200 295 EXAMINING_DOCUMENT 806480
ACTION MARK 1200 298 CONSIDERED_RELEVANT 806480
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT 97037
ACTION DOC 1200 318 EXAMINING_DOCUMENT 97037
ACTION MARK 1200 321 CONSIDERED_RELEVANT 97037
ACTION SNIPPET 1200 321 SNIPPET_RELEVANT 96716
ACTION DOC 1200 341 EXAMINING_DOCUMENT 96716
ACTION MARK 1200 344 CONSIDERED_RELEVANT 96716
ACTION SNIPPET 1200 344 SNIPPET_RELEVANT 1631510
ACTION DOC 1200 364 EXAMINING_DOCUMENT 1631510
ACTION MARK 1200 367 CONSIDERED_RELEVANT 1631510
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 1421635
ACTION SNIPPET 1200 367 SNIPPET_RELEVANT 59144
ACTION DOC 1200 387 EXAMINING_DOCUMENT 59144
ACTION MARK 1200 390 CONSIDERED_RELEVANT 59144
ACTION QUERY 1200 400 Storm property loss
ACTION SERP 1200 405 EXAMINE_SERP
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 596359
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 557311
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 1798209
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 579373
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 579372
ACTION SNIPPET 1200 405 SNIPPET_RELEVANT 575970
ACTION DOC 1200 425 EXAMINING_DOCUMENT 575970
ACTION MARK 1200 428 CONSIDERED_RELEVANT 575970
ACTION SNIPPET 1200 428 SNIPPET_NOT_RELEVANT 583182
ACTION SNIPPET 1200 428 SNIPPET_RELEVANT 823013
ACTION DOC 1200 448 EXAMINING_DOCUMENT 823013
ACTION MARK 1200 451 CONSIDERED_RELEVANT 823013
ACTION SNIPPET 1200 451 SNIPPET_RELEVANT 1724162
ACTION DOC 1200 471 EXAMINING_DOCUMENT 1724162
ACTION MARK 1200 474 CONSIDERED_RELEVANT 1724162
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 568361
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 781107
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 537793
ACTION SNIPPET 1200 474 SNIPPET_RELEVANT 1609534
ACTION DOC 1200 494 EXAMINING_DOCUMENT 1609534
ACTION MARK 1200 497 CONSIDERED_RELEVANT 1609534
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 589661
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 576652
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 576884
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 557309
ACTION SNIPPET 1200 497 SEEN_PREVIOUSLY 180399
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 429955
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 887252
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 565542
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 1614839
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 685587
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 1157945
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 552543
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 554513
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 180013
ACTION SNIPPET 1200 497 SNIPPET_NOT_RELEVANT 561292
ACTION SNIPPET 1200 497 SNIPPET_RELEVANT 576493
ACTION DOC 1200 517 EXAMINING_DOCUMENT 576493
