ACTION START 1200 0 START
ACTION QUERY 1200 10 Cuba sugar exports
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 223328
ACTION DOC 1200 35 EXAMINING_DOCUMENT 223328
ACTION MARK 1200 38 CONSIDERED_RELEVANT 223328
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 764420
ACTION DOC 1200 58 EXAMINING_DOCUMENT 764420
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 670087
ACTION DOC 1200 78 EXAMINING_DOCUMENT 670087
ACTION MARK 1200 81 CONSIDERED_RELEVANT 670087
ACTION SNIPPET 1200 81 SNIPPET_RELEVANT 669888
ACTION DOC 1200 101 EXAMINING_DOCUMENT 669888
ACTION MARK 1200 104 CONSIDERED_RELEVANT 669888
ACTION SNIPPET 1200 104 SNIPPET_RELEVANT 209726
ACTION DOC 1200 124 EXAMINING_DOCUMENT 209726
ACTION SNIPPET 1200 124 SNIPPET_RELEVANT 157298
ACTION DOC 1200 144 EXAMINING_DOCUMENT 157298
ACTION MARK 1200 147 CONSIDERED_RELEVANT 157298
ACTION QUERY 1200 157 Sugar production Cuba
ACTION SERP 1200 162 EXAMINE_SERP
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 223328
ACTION SNIPPET 1200 162 SNIPPET_RELEVANT 811677
ACTION DOC 1200 182 EXAMINING_DOCUMENT 811677
ACTION MARK 1200 185 CONSIDERED_RELEVANT 811677
ACTION SNIPPET 1200 185 SEEN_PREVIOUSLY 764420
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 930810
ACTION DOC 1200 205 EXAMINING_DOCUMENT 930810
ACTION MARK 1200 208 CONSIDERED_RELEVANT 930810
ACTION SNIPPET 1200 208 SEEN_PREVIOUSLY 209726
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 472037
ACTION DOC 1200 228 EXAMINING_DOCUMENT 472037
ACTION SNIPPET 1200 228 SEEN_PREVIOUSLY 670087
ACTION SNIPPET 1200 228 SEEN_PREVIOUSLY 669888
ACTION SNIPPET 1200 228 SNIPPET_RELEVANT 1430341
ACTION DOC 1200 248 EXAMINING_DOCUMENT 1430341
ACTION MARK 1200 251 CONSIDERED_RELEVANT 1430341
ACTION SNIPPET 1200 251 SNIPPET_RELEVANT 811634
ACTION DOC 1200 271 EXAMINING_DOCUMENT 811634
ACTION MARK 1200 274 CONSIDERED_RELEVANT 811634
ACTION SNIPPET 1200 274 SNIPPET_RELEVANT 783534
ACTION DOC 1200 294 EXAMINING_DOCUMENT 783534
ACTION QUERY 1200 304 Cuban sugar industry
ACTION SERP 1200 309 EXAMINE_SERP
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 669888
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 670087
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 930810
ACTION SNIPPET 1200 309 SNIPPET_RELEVANT 1543791
ACTION DOC 1200 329 EXAMINING_DOCUMENT 1543791
ACTION SNIPPET 1200 329 SEEN_PREVIOUSLY 1430341
ACTION SNIPPET 1200 329 SEEN_PREVIOUSLY 472037
ACTION SNIPPET 1200 329 SNIPPET_RELEVANT 1635462
ACTION DOC 1200 349 EXAMINING_DOCUMENT 1635462
ACTION MARK 1200 352 CONSIDERED_RELEVANT 1635462
ACTION SNIPPET 1200 352 SNIPPET_RELEVANT 1538997
ACTION DOC 1200 372 EXAMINING_DOCUMENT 1538997
ACTION SNIPPET 1200 372 SNIPPET_RELEVANT 1482041
ACTION DOC 1200 392 EXAMINING_DOCUMENT 1482041
ACTION SNIPPET 1200 392 SNIPPET_RELEVANT 128021
ACTION DOC 1200 412 EXAMINING_DOCUMENT 128021
ACTION MARK 1200 415 CONSIDERED_RELEVANT 128021
ACTION SNIPPET 1200 415 SNIPPET_RELEVANT 885471
ACTION DOC 1200 435 EXAMINING_DOCUMENT 885471
ACTION QUERY 1200 445 Cuba export market
ACTION SERP 1200 450 EXAMINE_SERP
ACTION SNIPPET 1200 450 SNIPPET_RELEVANT 1344054
ACTION DOC 1200 470 EXAMINING_DOCUMENT 1344054
ACTION SNIPPET 1200 470 SNIPPET_RELEVANT 1201943
ACTION DOC 1200 490 EXAMINING_DOCUMENT 1201943
ACTION MARK 1200 493 CONSIDERED_RELEVANT 1201943
ACTION SNIPPET 1200 493 SNIPPET_RELEVANT 64983
ACTION DOC 1200 513 EXAMINING_DOCUMENT 64983
ACTION SNIPPET 1200 513 SNIPPET_RELEVANT 1367610
ACTION DOC 1200 533 EXAMINING_DOCUMENT 1367610
ACTION SNIPPET 1200 533 SNIPPET_RELEVANT 1395527
ACTION DOC 1200 553 EXAMINING_DOCUMENT 1395527
ACTION SNIPPET 1200 553 SNIPPET_RELEVANT 1234415
ACTION DOC 1200 573 EXAMINING_DOCUMENT 1234415
ACTION MARK 1200 576 CONSIDERED_RELEVANT 1234415
ACTION QUERY 1200 586 Sugar trade Cuba
ACTION SERP 1200 591 EXAMINE_SERP
ACTION SNIPPET 1200 591 SEEN_PREVIOUSLY 764420
ACTION SNIPPET 1200 591 SNIPPET_RELEVANT 660242
ACTION DOC 1200 611 EXAMINING_DOCUMENT 660242
ACTION MARK 1200 614 CONSIDERED_RELEVANT 660242
ACTION SNIPPET 1200 614 SNIPPET_RELEVANT 214550
ACTION DOC 1200 634 EXAMINING_DOCUMENT 214550
ACTION MARK 1200 637 CONSIDERED_RELEVANT 214550
ACTION SNIPPET 1200 637 SEEN_PREVIOUSLY 670087
ACTION SNIPPET 1200 637 SEEN_PREVIOUSLY 669888
ACTION SNIPPET 1200 637 SNIPPET_RELEVANT 760368
ACTION DOC 1200 657 EXAMINING_DOCUMENT 760368
ACTION SNIPPET 1200 657 SEEN_PREVIOUSLY 1430341
ACTION SNIPPET 1200 657 SNIPPET_RELEVANT 742306
ACTION DOC 1200 677 EXAMINING_DOCUMENT 742306
ACTION MARK 1200 680 CONSIDERED_RELEVANT 742306
ACTION SNIPPET 1200 680 SNIPPET_RELEVANT 346480
ACTION DOC 1200 700 EXAMINING_DOCUMENT 346480
ACTION SNIPPET 1200 700 SEEN_PREVIOUSLY 128021
ACTION SNIPPET 1200 700 SNIPPET_RELEVANT 659369
ACTION DOC 1200 720 EXAMINING_DOCUMENT 659369
ACTION MARK 1200 723 CONSIDERED_RELEVANT 659369
ACTION QUERY 1200 733 Cuban exports sugar
