ACTION START 1200 0 START
ACTION QUERY 1200 10 UV eye damage
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 1763913
ACTION DOC 1200 35 EXAMINING_DOCUMENT 1763913
ACTION MARK 1200 38 CONSIDERED_RELEVANT 1763913
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 768803
ACTION DOC 1200 58 EXAMINING_DOCUMENT 768803
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 552447
ACTION DOC 1200 78 EXAMINING_DOCUMENT 552447
ACTION SNIPPET 1200 78 SNIPPET_RELEVANT 876390
ACTION DOC 1200 98 EXAMINING_DOCUMENT 876390
ACTION SNIPPET 1200 98 SNIPPET_RELEVANT 25614
ACTION DOC 1200 118 EXAMINING_DOCUMENT 25614
ACTION SNIPPET 1200 118 SNIPPET_RELEVANT 82399
ACTION DOC 1200 138 EXAMINING_DOCUMENT 82399
ACTION MARK 1200 141 CONSIDERED_RELEVANT 82399
ACTION QUERY 1200 151 eye protection from UV
ACTION SERP 1200 156 EXAMINE_SERP
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 1763913
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 768803
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 876390
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 25614
ACTION SNIPPET 1200 156 SNIPPET_RELEVANT 1767044
ACTION DOC 1200 176 EXAMINING_DOCUMENT 1767044
ACTION SNIPPET 1200 176 SNIPPET_RELEVANT 414640
ACTION DOC 1200 196 EXAMINING_DOCUMENT 414640
ACTION MARK 1200 199 CONSIDERED_RELEVANT 414640
ACTION SNIPPET 1200 199 SNIPPET_RELEVANT 1774049
ACTION DOC 1200 219 EXAMINING_DOCUMENT 1774049
ACTION SNIPPET 1200 219 SEEN_PREVIOUSLY 552447
ACTION SNIPPET 1200 219 SNIPPET_RELEVANT 1674885
ACTION DOC 1200 239 EXAMINING_DOCUMENT 1674885
ACTION SNIPPET 1200 239 SNIPPET_RELEVANT 659983
ACTION DOC 1200 259 EXAMINING_DOCUMENT 659983
ACTION SNIPPET 1200 259 SNIPPET_RELEVANT 436237
ACTION DOC 1200 279 EXAMINING_DOCUMENT 436237
ACTION QUERY 1200 289 ocular melanoma treatment
ACTION SERP 1200 294 EXAMINE_SERP
ACTION SNIPPET 1200 294 SNIPPET_RELEVANT 126213
ACTION DOC 1200 314 EXAMINING_DOCUMENT 126213
ACTION SNIPPET 1200 314 SNIPPET_RELEVANT 1226091
ACTION DOC 1200 334 EXAMINING_DOCUMENT 1226091
ACTION SNIPPET 1200 334 SNIPPET_RELEVANT 752035
ACTION DOC 1200 354 EXAMINING_DOCUMENT 752035
ACTION SNIPPET 1200 354 SNIPPET_RELEVANT 1087872
ACTION DOC 1200 374 EXAMINING_DOCUMENT 1087872
ACTION MARK 1200 377 CONSIDERED_RELEVANT 1087872
ACTION SNIPPET 1200 377 SNIPPET_RELEVANT 1431855
ACTION DOC 1200 397 EXAMINING_DOCUMENT 1431855
ACTION SNIPPET 1200 397 SNIPPET_RELEVANT 546720
ACTION DOC 1200 417 EXAMINING_DOCUMENT 546720
ACTION QUERY 1200 427 cataracts and UV
ACTION SERP 1200 432 EXAMINE_SERP
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 876390
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 768803
ACTION SNIPPET 1200 432 SEEN_PREVIOUSLY 552447
ACTION SNIPPET 1200 432 SNIPPET_RELEVANT 810567
ACTION DOC 1200 452 EXAMINING_DOCUMENT 810567
ACTION SNIPPET 1200 452 SNIPPET_RELEVANT 671772
ACTION DOC 1200 472 EXAMINING_DOCUMENT 671772
ACTION SNIPPET 1200 472 SEEN_PREVIOUSLY 1763913
ACTION SNIPPET 1200 472 SNIPPET_RELEVANT 611220
ACTION DOC 1200 492 EXAMINING_DOCUMENT 611220
ACTION SNIPPET 1200 492 SEEN_PREVIOUSLY 659983
ACTION SNIPPET 1200 492 SNIPPET_RELEVANT 19929
ACTION DOC 1200 512 EXAMINING_DOCUMENT 19929
ACTION SNIPPET 1200 512 SEEN_PREVIOUSLY 414640
ACTION SNIPPET 1200 512 SNIPPET_RELEVANT 462302
ACTION DOC 1200 532 EXAMINING_DOCUMENT 462302
ACTION SNIPPET 1200 532 SNIPPET_RELEVANT 354686
ACTION DOC 1200 552 EXAMINING_DOCUMENT 354686
ACTION MARK 1200 555 CONSIDERED_RELEVANT 354686
ACTION QUERY 1200 565 eyes ultraviolet protection
ACTION SERP 1200 570 EXAMINE_SERP
ACTION SNIPPET 1200 570 SEEN_PREVIOUSLY 354686
ACTION SNIPPET 1200 570 SNIPPET_RELEVANT 202873
ACTION DOC 1200 590 EXAMINING_DOCUMENT 202873
ACTION MARK 1200 593 CONSIDERED_RELEVANT 202873
ACTION SNIPPET 1200 593 SNIPPET_RELEVANT 186145
ACTION DOC 1200 613 EXAMINING_DOCUMENT 186145
