ACTION START 1200 0 START
ACTION QUERY 1200 10 population curbing growth
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 712094
ACTION DOC 1200 35 EXAMINING_DOCUMENT 712094
ACTION MARK 1200 38 CONSIDERED_RELEVANT 712094
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 524870
ACTION DOC 1200 58 EXAMINING_DOCUMENT 524870
ACTION MARK 1200 61 CONSIDERED_RELEVANT 524870
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 1300818
ACTION DOC 1200 81 EXAMINING_DOCUMENT 1300818
ACTION MARK 1200 84 CONSIDERED_RELEVANT 1300818
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 579321
ACTION DOC 1200 104 EXAMINING_DOCUMENT 579321
ACTION MARK 1200 107 CONSIDERED_RELEVANT 579321
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 671112
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 334619
ACTION DOC 1200 127 EXAMINING_DOCUMENT 334619
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 397147
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 806907
ACTION DOC 1200 147 EXAMINING_DOCUMENT 806907
ACTION MARK 1200 150 CONSIDERED_RELEVANT 806907
ACTION QUERY 1200 160 population curbing measures
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 133539
ACTION DOC 1200 185 EXAMINING_DOCUMENT 133539
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 1297198
ACTION DOC 1200 205 EXAMINING_DOCUMENT 1297198
ACTION MARK 1200 208 CONSIDERED_RELEVANT 1297198
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 1567612
ACTION DOC 1200 228 EXAMINING_DOCUMENT 1567612
ACTION MARK 1200 231 CONSIDERED_RELEVANT 1567612
ACTION SNIPPET 1200 231 SEEN_PREVIOUSLY 524870
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1468757
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1468757
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1468757
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 693784
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 380964
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 397147
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 398317
ACTION DOC 1200 274 EXAMINING_DOCUMENT 398317
ACTION MARK 1200 277 CONSIDERED_RELEVANT 398317
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1761076
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 22288
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 877037
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 390089
ACTION DOC 1200 297 EXAMINING_DOCUMENT 390089
ACTION MARK 1200 300 CONSIDERED_RELEVANT 390089
ACTION QUERY 1200 310 population curbing worldwide
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 1300818
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 261619
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 175967
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 118926
ACTION DOC 1200 335 EXAMINING_DOCUMENT 118926
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 538333
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 1276233
ACTION DOC 1200 355 EXAMINING_DOCUMENT 1276233
ACTION SNIPPET 1200 355 SEEN_PREVIOUSLY 390089
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 679949
ACTION DOC 1200 375 EXAMINING_DOCUMENT 679949
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 371239
ACTION DOC 1200 395 EXAMINING_DOCUMENT 371239
ACTION MARK 1200 398 CONSIDERED_RELEVANT 371239
ACTION SNIPPET 1200 398 SNIPPET_RELEVANT 885385
ACTION DOC 1200 418 EXAMINING_DOCUMENT 885385
ACTION SNIPPET 1200 418 SNIPPET_RELEVANT 226845
ACTION DOC 1200 438 EXAMINING_DOCUMENT 226845
ACTION QUERY 1200 448 population curbing countries
ACTION SERP 1200 453 EXAMINE_SERP
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 390089
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 524870
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 712094
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 1300818
ACTION SNIPPET 1200 453 SNIPPET_NOT_RELEVANT 680085
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT 696169
ACTION DOC 1200 473 EXAMINING_DOCUMENT 696169
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 1099414
