ACTION START 1200 0 START
ACTION QUERY 1200 10 railway accidents safety
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 112888
ACTION DOC 1200 35 EXAMINING_DOCUMENT 112888
ACTION MARK 1200 38 CONSIDERED_RELEVANT 112888
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 1598678
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 46187
ACTION DOC 1200 58 EXAMINING_DOCUMENT 46187
ACTION MARK 1200 61 CONSIDERED_RELEVANT 46187
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 973603
ACTION DOC 1200 81 EXAMINING_DOCUMENT 973603
ACTION MARK 1200 84 CONSIDERED_RELEVANT 973603
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 42499
ACTION DOC 1200 104 EXAMINING_DOCUMENT 42499
ACTION MARK 1200 107 CONSIDERED_RELEVANT 42499
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1022091
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1022091
ACTION MARK 1200 130 CONSIDERED_RELEVANT 1022091
ACTION QUERY 1200 140 railway accidents causes
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 317296
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 214578
ACTION DOC 1200 165 EXAMINING_DOCUMENT 214578
ACTION MARK 1200 168 CONSIDERED_RELEVANT 214578
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 39908
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 1360557
ACTION DOC 1200 188 EXAMINING_DOCUMENT 1360557
ACTION MARK 1200 191 CONSIDERED_RELEVANT 1360557
ACTION SNIPPET 1200 191 SEEN_PREVIOUSLY 112888
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 1687116
ACTION DOC 1200 211 EXAMINING_DOCUMENT 1687116
ACTION MARK 1200 214 CONSIDERED_RELEVANT 1687116
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 1127996
ACTION DOC 1200 234 EXAMINING_DOCUMENT 1127996
ACTION MARK 1200 237 CONSIDERED_RELEVANT 1127996
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT 1667781
ACTION DOC 1200 257 EXAMINING_DOCUMENT 1667781
ACTION MARK 1200 260 CONSIDERED_RELEVANT 1667781
ACTION QUERY 1200 270 railway accidents throughout
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 317296
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 98010
ACTION DOC 1200 295 EXAMINING_DOCUMENT 98010
ACTION MARK 1200 298 CONSIDERED_RELEVANT 98010
ACTION SNIPPET 1200 298 SEEN_PREVIOUSLY 214578
ACTION SNIPPET 1200 298 SEEN_PREVIOUSLY 112888
ACTION SNIPPET 1200 298 SNIPPET_NOT_RELEVANT 1403372
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT 1048102
