ACTION START 1200 0 START
ACTION QUERY 1200 10 railway accidents safety
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 112888
ACTION DOC 1200 35 EXAMINING_DOCUMENT 112888
ACTION MARK 1200 38 CONSIDERED_RELEVANT 112888
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1598678
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1598678
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1598678
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 46187
ACTION DOC 1200 81 EXAMINING_DOCUMENT 46187
ACTION MARK 1200 84 CONSIDERED_RELEVANT 46187
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 973603
ACTION DOC 1200 104 EXAMINING_DOCUMENT 973603
ACTION MARK 1200 107 CONSIDERED_RELEVANT 973603
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 42499
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1022091
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1022091
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 97796
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 1565750
ACTION DOC 1200 147 EXAMINING_DOCUMENT 1565750
ACTION MARK 1200 150 CONSIDERED_RELEVANT 1565750
ACTION QUERY 1200 160 railway accidents causes
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 317296
ACTION DOC 1200 185 EXAMINING_DOCUMENT 317296
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 214578
ACTION DOC 1200 205 EXAMINING_DOCUMENT 214578
ACTION MARK 1200 208 CONSIDERED_RELEVANT 214578
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 39908
ACTION DOC 1200 228 EXAMINING_DOCUMENT 39908
ACTION MARK 1200 231 CONSIDERED_RELEVANT 39908
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1360557
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1360557
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1360557
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY 112888
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1687116
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1127996
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1667781
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY 973603
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 1373726
ACTION DOC 1200 274 EXAMINING_DOCUMENT 1373726
ACTION MARK 1200 277 CONSIDERED_RELEVANT 1373726
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1240001
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 98010
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 471885
ACTION SNIPPET 1200 277 SEEN_PREVIOUSLY 1022091
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 1751955
