ACTION START 1200 0 START
ACTION QUERY 1200 10 heroic acts
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 99968
ACTION DOC 1200 35 EXAMINING_DOCUMENT 99968
ACTION MARK 1200 38 CONSIDERED_RELEVANT 99968
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 996765
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 1596059
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 190817
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 690533
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 895603
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 1579584
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 372589
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1366401
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1366401
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1366401
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 907417
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 1721512
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 693200
ACTION DOC 1200 81 EXAMINING_DOCUMENT 693200
ACTION MARK 1200 84 CONSIDERED_RELEVANT 693200
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 1063690
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 1031456
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 1468516
ACTION DOC 1200 104 EXAMINING_DOCUMENT 1468516
ACTION MARK 1200 107 CONSIDERED_RELEVANT 1468516
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 917410
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 1296447
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 414693
ACTION DOC 1200 127 EXAMINING_DOCUMENT 414693
ACTION MARK 1200 130 CONSIDERED_RELEVANT 414693
ACTION QUERY 1200 140 selfless heroes
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1571563
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1332356
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 861985
ACTION DOC 1200 165 EXAMINING_DOCUMENT 861985
ACTION MARK 1200 168 CONSIDERED_RELEVANT 861985
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 1331149
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 652964
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 1734075
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 820319
ACTION DOC 1200 188 EXAMINING_DOCUMENT 820319
ACTION MARK 1200 191 CONSIDERED_RELEVANT 820319
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 1166943
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 919014
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 1167459
ACTION DOC 1200 211 EXAMINING_DOCUMENT 1167459
ACTION MARK 1200 214 CONSIDERED_RELEVANT 1167459
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 925584
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 1816532
ACTION DOC 1200 234 EXAMINING_DOCUMENT 1816532
ACTION MARK 1200 237 CONSIDERED_RELEVANT 1816532
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1786824
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1660418
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 427448
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1366366
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1086244
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 820514
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1325095
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 677687
ACTION SNIPPET 1200 237 SEEN_PREVIOUSLY 414693
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 1533667
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 154371
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 815372
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 905491
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 773007
