ACTION START 1200 0 START
ACTION QUERY 1200 10 France nuclear testing protests
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 786623
ACTION DOC 1200 35 EXAMINING_DOCUMENT 786623
ACTION MARK 1200 38 CONSIDERED_RELEVANT 786623
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 808643
ACTION DOC 1200 58 EXAMINING_DOCUMENT 808643
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 769651
ACTION DOC 1200 78 EXAMINING_DOCUMENT 769651
ACTION SNIPPET 1200 78 SNIPPET_RELEVANT 786975
ACTION DOC 1200 98 EXAMINING_DOCUMENT 786975
ACTION SNIPPET 1200 98 SNIPPET_RELEVANT 818751
ACTION DOC 1200 118 EXAMINING_DOCUMENT 818751
ACTION SNIPPET 1200 118 SNIPPET_RELEVANT 826518
ACTION DOC 1200 138 EXAMINING_DOCUMENT 826518
ACTION QUERY 1200 148 France nuclear testing response
ACTION SERP 1200 153 EXAMINE_SERP
ACTION SNIPPET 1200 153 SNIPPET_RELEVANT 779769
ACTION DOC 1200 173 EXAMINING_DOCUMENT 779769
ACTION SNIPPET 1200 173 SNIPPET_RELEVANT 775563
ACTION DOC 1200 193 EXAMINING_DOCUMENT 775563
ACTION SNIPPET 1200 193 SNIPPET_RELEVANT 768483
ACTION DOC 1200 213 EXAMINING_DOCUMENT 768483
ACTION SNIPPET 1200 213 SEEN_PREVIOUSLY 769651
ACTION SNIPPET 1200 213 SNIPPET_RELEVANT 639197
ACTION DOC 1200 233 EXAMINING_DOCUMENT 639197
ACTION SNIPPET 1200 233 SNIPPET_RELEVANT 787159
ACTION DOC 1200 253 EXAMINING_DOCUMENT 787159
ACTION SNIPPET 1200 253 SNIPPET_RELEVANT 1022206
ACTION DOC 1200 273 EXAMINING_DOCUMENT 1022206
ACTION QUERY 1200 283 Greenpeace Mururoa Atoll
ACTION SERP 1200 288 EXAMINE_SERP
ACTION SNIPPET 1200 288 SEEN_PREVIOUSLY 786623
ACTION SNIPPET 1200 288 SEEN_PREVIOUSLY 786975
ACTION SNIPPET 1200 288 SNIPPET_RELEVANT 786426
ACTION DOC 1200 308 EXAMINING_DOCUMENT 786426
ACTION MARK 1200 311 CONSIDERED_RELEVANT 786426
ACTION SNIPPET 1200 311 SNIPPET_RELEVANT 1280224
ACTION DOC 1200 331 EXAMINING_DOCUMENT 1280224
ACTION SNIPPET 1200 331 SNIPPET_RELEVANT 804059
ACTION DOC 1200 351 EXAMINING_DOCUMENT 804059
ACTION SNIPPET 1200 351 SNIPPET_RELEVANT 792774
ACTION DOC 1200 371 EXAMINING_DOCUMENT 792774
ACTION SNIPPET 1200 371 SNIPPET_RELEVANT 533575
ACTION DOC 1200 391 EXAMINING_DOCUMENT 533575
ACTION MARK 1200 394 CONSIDERED_RELEVANT 533575
ACTION SNIPPET 1200 394 SNIPPET_RELEVANT 774212
ACTION DOC 1200 414 EXAMINING_DOCUMENT 774212
ACTION MARK 1200 417 CONSIDERED_RELEVANT 774212
ACTION QUERY 1200 427 France nuclear protest response
ACTION SERP 1200 432 EXAMINE_SERP
ACTION SNIPPET 1200 432 SNIPPET_RELEVANT 775546
ACTION DOC 1200 452 EXAMINING_DOCUMENT 775546
ACTION MARK 1200 455 CONSIDERED_RELEVANT 775546
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 769651
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 787159
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 779769
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 808643
ACTION SNIPPET 1200 455 SEEN_PREVIOUSLY 786623
ACTION SNIPPET 1200 455 SNIPPET_RELEVANT 849316
ACTION DOC 1200 475 EXAMINING_DOCUMENT 849316
ACTION SNIPPET 1200 475 SEEN_PREVIOUSLY 818751
ACTION SNIPPET 1200 475 SEEN_PREVIOUSLY 786975
ACTION SNIPPET 1200 475 SNIPPET_RELEVANT 1455545
ACTION DOC 1200 495 EXAMINING_DOCUMENT 1455545
ACTION SNIPPET 1200 495 SEEN_PREVIOUSLY 826518
ACTION SNIPPET 1200 495 SNIPPET_RELEVANT 1616604
ACTION DOC 1200 515 EXAMINING_DOCUMENT 1616604
ACTION SNIPPET 1200 515 SEEN_PREVIOUSLY 774212
ACTION SNIPPET 1200 515 SNIPPET_RELEVANT 787130
ACTION DOC 1200 535 EXAMINING_DOCUMENT 787130
ACTION MARK 1200 538 CONSIDERED_RELEVANT 787130
ACTION SNIPPET 1200 538 SNIPPET_RELEVANT 787050
ACTION DOC 1200 558 EXAMINING_DOCUMENT 787050
ACTION QUERY 1200 568 French response to Greenpeace
