ACTION START 1200 0 START
ACTION QUERY 1200 10 France nuclear testing protests
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 786623
ACTION DOC 1200 35 EXAMINING_DOCUMENT 786623
ACTION MARK 1200 38 CONSIDERED_RELEVANT 786623
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 808643
ACTION DOC 1200 58 EXAMINING_DOCUMENT 808643
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 769651
ACTION DOC 1200 78 EXAMINING_DOCUMENT 769651
ACTION SNIPPET 1200 78 SNIPPET_RELEVANT 786975
ACTION DOC 1200 98 EXAMINING_DOCUMENT 786975
ACTION SNIPPET 1200 98 SNIPPET_RELEVANT 818751
ACTION DOC 1200 118 EXAMINING_DOCUMENT 818751
ACTION SNIPPET 1200 118 SNIPPET_RELEVANT 826518
ACTION DOC 1200 138 EXAMINING_DOCUMENT 826518
ACTION MARK 1200 141 CONSIDERED_RELEVANT 826518
ACTION QUERY 1200 151 Greenpeace Mururoa Atoll
ACTION SERP 1200 156 EXAMINE_SERP
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 786623
ACTION SNIPPET 1200 156 SEEN_PREVIOUSLY 786975
ACTION SNIPPET 1200 156 SNIPPET_RELEVANT 786426
ACTION DOC 1200 176 EXAMINING_DOCUMENT 786426
ACTION MARK 1200 179 CONSIDERED_RELEVANT 786426
ACTION SNIPPET 1200 179 SNIPPET_RELEVANT 1280224
ACTION DOC 1200 199 EXAMINING_DOCUMENT 1280224
ACTION SNIPPET 1200 199 SNIPPET_RELEVANT 804059
ACTION DOC 1200 219 EXAMINING_DOCUMENT 804059
ACTION SNIPPET 1200 219 SNIPPET_RELEVANT 792774
ACTION DOC 1200 239 EXAMINING_DOCUMENT 792774
ACTION SNIPPET 1200 239 SNIPPET_RELEVANT 533575
ACTION DOC 1200 259 EXAMINING_DOCUMENT 533575
ACTION MARK 1200 262 CONSIDERED_RELEVANT 533575
ACTION SNIPPET 1200 262 SNIPPET_RELEVANT 774212
ACTION DOC 1200 282 EXAMINING_DOCUMENT 774212
ACTION MARK 1200 285 CONSIDERED_RELEVANT 774212
ACTION QUERY 1200 295 French Polynesian tests
ACTION SERP 1200 300 EXAMINE_SERP
ACTION SNIPPET 1200 300 SNIPPET_RELEVANT 787297
ACTION DOC 1200 320 EXAMINING_DOCUMENT 787297
ACTION MARK 1200 323 CONSIDERED_RELEVANT 787297
ACTION SNIPPET 1200 323 SNIPPET_RELEVANT 794967
ACTION DOC 1200 343 EXAMINING_DOCUMENT 794967
ACTION SNIPPET 1200 343 SNIPPET_RELEVANT 795678
ACTION DOC 1200 363 EXAMINING_DOCUMENT 795678
ACTION SNIPPET 1200 363 SNIPPET_RELEVANT 787688
ACTION DOC 1200 383 EXAMINING_DOCUMENT 787688
ACTION SNIPPET 1200 383 SNIPPET_RELEVANT 787130
ACTION DOC 1200 403 EXAMINING_DOCUMENT 787130
ACTION MARK 1200 406 CONSIDERED_RELEVANT 787130
ACTION SNIPPET 1200 406 SNIPPET_RELEVANT 793506
ACTION DOC 1200 426 EXAMINING_DOCUMENT 793506
ACTION QUERY 1200 436 Mururoa Atoll protests
ACTION SERP 1200 441 EXAMINE_SERP
ACTION SNIPPET 1200 441 SEEN_PREVIOUSLY 786975
ACTION SNIPPET 1200 441 SEEN_PREVIOUSLY 786623
ACTION SNIPPET 1200 441 SEEN_PREVIOUSLY 786426
ACTION SNIPPET 1200 441 SEEN_PREVIOUSLY 792774
ACTION SNIPPET 1200 441 SEEN_PREVIOUSLY 818751
ACTION SNIPPET 1200 441 SNIPPET_RELEVANT 787433
ACTION DOC 1200 461 EXAMINING_DOCUMENT 787433
ACTION MARK 1200 464 CONSIDERED_RELEVANT 787433
ACTION SNIPPET 1200 464 SEEN_PREVIOUSLY 804059
ACTION SNIPPET 1200 464 SNIPPET_RELEVANT 256169
ACTION DOC 1200 484 EXAMINING_DOCUMENT 256169
ACTION SNIPPET 1200 484 SNIPPET_RELEVANT 86745
ACTION DOC 1200 504 EXAMINING_DOCUMENT 86745
ACTION MARK 1200 507 CONSIDERED_RELEVANT 86745
ACTION SNIPPET 1200 507 SEEN_PREVIOUSLY 787297
ACTION SNIPPET 1200 507 SEEN_PREVIOUSLY 826518
ACTION SNIPPET 1200 507 SEEN_PREVIOUSLY 774212
ACTION SNIPPET 1200 507 SNIPPET_RELEVANT 786059
ACTION DOC 1200 527 EXAMINING_DOCUMENT 786059
ACTION SNIPPET 1200 527 SEEN_PREVIOUSLY 1280224
ACTION SNIPPET 1200 527 SNIPPET_RELEVANT 783968
ACTION DOC 1200 547 EXAMINING_DOCUMENT 783968
