ACTION START 1200 0 START
ACTION QUERY 1200 10 tunnel disasters transportation
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION DOC 1200 35 EXAMINING_DOCUMENT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION MARK 1200 38 CONSIDERED_RELEVANT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION DOC 1200 58 EXAMINING_DOCUMENT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION MARK 1200 61 CONSIDERED_RELEVANT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT f34b7bd8004c900a605cdc9d353bac8c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION DOC 1200 81 EXAMINING_DOCUMENT 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION MARK 1200 84 CONSIDERED_RELEVANT 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 4b6b7f53d12e7b327c53eea0f41a67b2
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 19d1b0803c05919bcd72c6888d4c9a55
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 2f6f275e-dfe2-11e5-8d98-4b3d9215ade1
ACTION DOC 1200 104 EXAMINING_DOCUMENT 2f6f275e-dfe2-11e5-8d98-4b3d9215ade1
ACTION MARK 1200 107 CONSIDERED_RELEVANT 2f6f275e-dfe2-11e5-8d98-4b3d9215ade1
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION DOC 1200 127 EXAMINING_DOCUMENT da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION MARK 1200 130 CONSIDERED_RELEVANT da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION QUERY 1200 140 tunnel disasters occurred
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 4354d59c8716e8cada3e01167cbc6e1f
ACTION DOC 1200 165 EXAMINING_DOCUMENT 4354d59c8716e8cada3e01167cbc6e1f
ACTION MARK 1200 168 CONSIDERED_RELEVANT 4354d59c8716e8cada3e01167cbc6e1f
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION DOC 1200 188 EXAMINING_DOCUMENT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION MARK 1200 191 CONSIDERED_RELEVANT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT a7ffb0b2-1015-11e2-bd1a-b868e65d57eb
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION DOC 1200 211 EXAMINING_DOCUMENT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION MARK 1200 214 CONSIDERED_RELEVANT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION DOC 1200 234 EXAMINING_DOCUMENT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION MARK 1200 237 CONSIDERED_RELEVANT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT d48eb4093509552f38231510d8d5de5b
ACTION DOC 1200 257 EXAMINING_DOCUMENT d48eb4093509552f38231510d8d5de5b
ACTION MARK 1200 260 CONSIDERED_RELEVANT d48eb4093509552f38231510d8d5de5b
ACTION QUERY 1200 270 tunnel disasters identifies
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 5f90e53a-f077-11e5-85a6-2132cf446d0a
ACTION DOC 1200 295 EXAMINING_DOCUMENT 5f90e53a-f077-11e5-85a6-2132cf446d0a
ACTION MARK 1200 298 CONSIDERED_RELEVANT 5f90e53a-f077-11e5-85a6-2132cf446d0a
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT 9c491ad8-b21b-11e4-827f-93f454140e2b
ACTION DOC 1200 318 EXAMINING_DOCUMENT 9c491ad8-b21b-11e4-827f-93f454140e2b
ACTION MARK 1200 321 CONSIDERED_RELEVANT 9c491ad8-b21b-11e4-827f-93f454140e2b
ACTION SNIPPET 1200 321 SEEN_PREVIOUSLY d48eb4093509552f38231510d8d5de5b
ACTION SNIPPET 1200 321 SNIPPET_RELEVANT b2c848cc0b7a97a9c8a4f2b2a9f46e09
ACTION DOC 1200 341 EXAMINING_DOCUMENT b2c848cc0b7a97a9c8a4f2b2a9f46e09
ACTION MARK 1200 344 CONSIDERED_RELEVANT b2c848cc0b7a97a9c8a4f2b2a9f46e09
ACTION SNIPPET 1200 344 SNIPPET_NOT_RELEVANT 4c5d6036-c927-11e6-8bee-54e800ef2a63
ACTION SNIPPET 1200 344 SEEN_PREVIOUSLY da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION SNIPPET 1200 344 SEEN_PREVIOUSLY 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 344 SNIPPET_NOT_RELEVANT f1c0daae-3587-11e7-b412-62beef8121f7
ACTION SNIPPET 1200 344 SNIPPET_RELEVANT 420f8dee-b398-11e4-827f-93f454140e2b
ACTION DOC 1200 364 EXAMINING_DOCUMENT 420f8dee-b398-11e4-827f-93f454140e2b
ACTION MARK 1200 367 CONSIDERED_RELEVANT 420f8dee-b398-11e4-827f-93f454140e2b
ACTION SNIPPET 1200 367 SNIPPET_RELEVANT e719b5993f9632c97560568c958c2056
ACTION DOC 1200 387 EXAMINING_DOCUMENT e719b5993f9632c97560568c958c2056
ACTION MARK 1200 390 CONSIDERED_RELEVANT e719b5993f9632c97560568c958c2056
ACTION QUERY 1200 400 tunnel disasters trains
ACTION SERP 1200 405 EXAMINE_SERP
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 405 SNIPPET_RELEVANT db8d3474-1ab0-11e5-ab92-c75ae6ab94b5
ACTION DOC 1200 425 EXAMINING_DOCUMENT db8d3474-1ab0-11e5-ab92-c75ae6ab94b5
ACTION MARK 1200 428 CONSIDERED_RELEVANT db8d3474-1ab0-11e5-ab92-c75ae6ab94b5
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION SNIPPET 1200 428 SEEN_PREVIOUSLY da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION SNIPPET 1200 428 SNIPPET_RELEVANT f0b5a92637ba6764237454233ec936d3
ACTION DOC 1200 448 EXAMINING_DOCUMENT f0b5a92637ba6764237454233ec936d3
ACTION MARK 1200 451 CONSIDERED_RELEVANT f0b5a92637ba6764237454233ec936d3
