ACTION START 1200 0 START
ACTION QUERY 1200 10 tunnel disasters transportation
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION DOC 1200 35 EXAMINING_DOCUMENT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION MARK 1200 38 CONSIDERED_RELEVANT 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION DOC 1200 58 EXAMINING_DOCUMENT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION MARK 1200 61 CONSIDERED_RELEVANT 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION DOC 1200 81 EXAMINING_DOCUMENT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION MARK 1200 84 CONSIDERED_RELEVANT 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION DOC 1200 104 EXAMINING_DOCUMENT 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION MARK 1200 107 CONSIDERED_RELEVANT 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT f34b7bd8004c900a605cdc9d353bac8c
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION DOC 1200 127 EXAMINING_DOCUMENT 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 4b6b7f53d12e7b327c53eea0f41a67b2
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 19d1b0803c05919bcd72c6888d4c9a55
ACTION DOC 1200 147 EXAMINING_DOCUMENT 19d1b0803c05919bcd72c6888d4c9a55
ACTION MARK 1200 150 CONSIDERED_RELEVANT 19d1b0803c05919bcd72c6888d4c9a55
ACTION QUERY 1200 160 tunnel disasters occurred
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 2686c2d4-2b2c-11e5-bd33-395c05608059
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 4354d59c8716e8cada3e01167cbc6e1f
ACTION DOC 1200 185 EXAMINING_DOCUMENT 4354d59c8716e8cada3e01167cbc6e1f
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION DOC 1200 205 EXAMINING_DOCUMENT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION MARK 1200 208 CONSIDERED_RELEVANT a435f21ab36d7b6bc8edcdc27ad2e17f
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT a7ffb0b2-1015-11e2-bd1a-b868e65d57eb
ACTION DOC 1200 228 EXAMINING_DOCUMENT a7ffb0b2-1015-11e2-bd1a-b868e65d57eb
ACTION MARK 1200 231 CONSIDERED_RELEVANT a7ffb0b2-1015-11e2-bd1a-b868e65d57eb
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1c3f797e-1501-11e5-89f3-61410da94eb1
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT d48eb4093509552f38231510d8d5de5b
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 2dfc72f0981d7209f4408d7daec1588b
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT cbeeefb418cc515b6c2d1b737a28ea0d
ACTION DOC 1200 274 EXAMINING_DOCUMENT cbeeefb418cc515b6c2d1b737a28ea0d
ACTION MARK 1200 277 CONSIDERED_RELEVANT cbeeefb418cc515b6c2d1b737a28ea0d
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 7043ad12-9db3-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT d9182af73f0504e9dd34cd3361ceb7a1
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT bd1d0706-fc04-11e3-932c-0a55b81f48ce
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 1377da44-7156-11e2-a050-b83a7b35c4b5
ACTION DOC 1200 297 EXAMINING_DOCUMENT 1377da44-7156-11e2-a050-b83a7b35c4b5
ACTION MARK 1200 300 CONSIDERED_RELEVANT 1377da44-7156-11e2-a050-b83a7b35c4b5
ACTION QUERY 1200 310 tunnel disasters identifies
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 61d983e5a1fe6acdaa6396cba48a1cdb
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 5f90e53a-f077-11e5-85a6-2132cf446d0a
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 9c491ad8-b21b-11e4-827f-93f454140e2b
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT d48eb4093509552f38231510d8d5de5b
ACTION DOC 1200 335 EXAMINING_DOCUMENT d48eb4093509552f38231510d8d5de5b
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT b2c848cc0b7a97a9c8a4f2b2a9f46e09
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 4c5d6036-c927-11e6-8bee-54e800ef2a63
ACTION DOC 1200 355 EXAMINING_DOCUMENT 4c5d6036-c927-11e6-8bee-54e800ef2a63
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION DOC 1200 375 EXAMINING_DOCUMENT da62e630-423f-11e7-8c25-44d09ff5a4a8
ACTION SNIPPET 1200 375 SEEN_PREVIOUSLY 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT f1c0daae-3587-11e7-b412-62beef8121f7
ACTION DOC 1200 395 EXAMINING_DOCUMENT f1c0daae-3587-11e7-b412-62beef8121f7
ACTION MARK 1200 398 CONSIDERED_RELEVANT f1c0daae-3587-11e7-b412-62beef8121f7
ACTION SNIPPET 1200 398 SNIPPET_RELEVANT 420f8dee-b398-11e4-827f-93f454140e2b
ACTION DOC 1200 418 EXAMINING_DOCUMENT 420f8dee-b398-11e4-827f-93f454140e2b
ACTION SNIPPET 1200 418 SNIPPET_RELEVANT e719b5993f9632c97560568c958c2056
ACTION DOC 1200 438 EXAMINING_DOCUMENT e719b5993f9632c97560568c958c2056
ACTION QUERY 1200 448 tunnel disasters trains
ACTION SERP 1200 453 EXAMINE_SERP
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 60c539a6-9b2d-11e4-a7ee-526210d665b4
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 4398c84e-81da-11e6-a52d-9a865a0ed0d4
ACTION SNIPPET 1200 453 SEEN_PREVIOUSLY 050aa508-a0e9-11e4-b146-577832eafcb4
ACTION SNIPPET 1200 453 SNIPPET_NOT_RELEVANT db8d3474-1ab0-11e5-ab92-c75ae6ab94b5
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION DOC 1200 473 EXAMINING_DOCUMENT eb65241e-1bfb-11e5-93b7-5eddc056ad8a
ACTION SNIPPET 1200 473 SEEN_PREVIOUSLY da62e630-423f-11e7-8c25-44d09ff5a4a8
