ACTION START 1200 0 START
ACTION QUERY 1200 10 Amazon rainforest preservation
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 72e72b41097d53b627fd375dd2d3309b
ACTION DOC 1200 35 EXAMINING_DOCUMENT 72e72b41097d53b627fd375dd2d3309b
ACTION MARK 1200 38 CONSIDERED_RELEVANT 72e72b41097d53b627fd375dd2d3309b
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT b3eb2c064759b6cafd4a599c6730946c
ACTION DOC 1200 58 EXAMINING_DOCUMENT b3eb2c064759b6cafd4a599c6730946c
ACTION MARK 1200 61 CONSIDERED_RELEVANT b3eb2c064759b6cafd4a599c6730946c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 6aea64d885e86a615f73dd07dead824f
ACTION DOC 1200 81 EXAMINING_DOCUMENT 6aea64d885e86a615f73dd07dead824f
ACTION MARK 1200 84 CONSIDERED_RELEVANT 6aea64d885e86a615f73dd07dead824f
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT e93f49ea-ae84-11e1-a163-d43a3ca733b4
ACTION DOC 1200 104 EXAMINING_DOCUMENT e93f49ea-ae84-11e1-a163-d43a3ca733b4
ACTION MARK 1200 107 CONSIDERED_RELEVANT e93f49ea-ae84-11e1-a163-d43a3ca733b4
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 863bd87d09cb7723fe069226ccafb0aa
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT c04684338e0abe7c5a8656cc4eacd7ac
ACTION DOC 1200 127 EXAMINING_DOCUMENT c04684338e0abe7c5a8656cc4eacd7ac
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT fb073360d1c7c491beeb7adf485bfbfb
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 7b4ca1360cdbadb4a41b6d6fd465cec2
ACTION DOC 1200 147 EXAMINING_DOCUMENT 7b4ca1360cdbadb4a41b6d6fd465cec2
ACTION MARK 1200 150 CONSIDERED_RELEVANT 7b4ca1360cdbadb4a41b6d6fd465cec2
ACTION QUERY 1200 160 South America conservation efforts
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT e14d4e4a-3ba6-11e1-9ff8-fab9392b31bf
ACTION DOC 1200 185 EXAMINING_DOCUMENT e14d4e4a-3ba6-11e1-9ff8-fab9392b31bf
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 74250b3023bf30677ad3a23bbc9b4512
ACTION DOC 1200 205 EXAMINING_DOCUMENT 74250b3023bf30677ad3a23bbc9b4512
ACTION MARK 1200 208 CONSIDERED_RELEVANT 74250b3023bf30677ad3a23bbc9b4512
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 94de35104b62956d4f36c4b99422de2a
ACTION DOC 1200 228 EXAMINING_DOCUMENT 94de35104b62956d4f36c4b99422de2a
ACTION MARK 1200 231 CONSIDERED_RELEVANT 94de35104b62956d4f36c4b99422de2a
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT b12d3aa4-03c6-11e5-bc72-f3e16bf50bb6
ACTION DOC 1200 251 EXAMINING_DOCUMENT b12d3aa4-03c6-11e5-bc72-f3e16bf50bb6
ACTION MARK 1200 254 CONSIDERED_RELEVANT b12d3aa4-03c6-11e5-bc72-f3e16bf50bb6
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT b1c9228cc6010eb8319016350851fdb5
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 83ee2d7b76cb7550f73d5bd7ff185bc0
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 6ea636a0-7912-11e1-a01f-52d5c6187537
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 695a35b01df173f68bb05ef981ff23cb
ACTION DOC 1200 274 EXAMINING_DOCUMENT 695a35b01df173f68bb05ef981ff23cb
ACTION MARK 1200 277 CONSIDERED_RELEVANT 695a35b01df173f68bb05ef981ff23cb
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 020ef5cfe9196d0bd324643f2c9df410
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 1ad9295b0a6d039c7522b7e6a0793560
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 8cbde53a-ef51-11e4-8abc-d6aa3bad79dd
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 127a077c-bed0-11e1-9ce8-ff26651238d0
ACTION DOC 1200 297 EXAMINING_DOCUMENT 127a077c-bed0-11e1-9ce8-ff26651238d0
ACTION MARK 1200 300 CONSIDERED_RELEVANT 127a077c-bed0-11e1-9ce8-ff26651238d0
ACTION QUERY 1200 310 Rainforest protection measures
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 8923d1525f19d88b4eda51d81d557d57
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 038541d8-2d10-11e2-89d4-040c9330702a
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 1c35179913f4459f1217559be6293877
ACTION DOC 1200 335 EXAMINING_DOCUMENT 1c35179913f4459f1217559be6293877
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 8343bc49f515ec345dae4ac9472ae9b6
ACTION SNIPPET 1200 335 SEEN_PREVIOUSLY e93f49ea-ae84-11e1-a163-d43a3ca733b4
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT f6f09f8e-8863-11e3-916e-e01534b1e132
ACTION DOC 1200 355 EXAMINING_DOCUMENT f6f09f8e-8863-11e3-916e-e01534b1e132
