ACTION START 1200 0 START
ACTION QUERY 1200 10 tropical storms caused
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT bbad73c002ed32a022f8b53949fe646b
ACTION DOC 1200 35 EXAMINING_DOCUMENT bbad73c002ed32a022f8b53949fe646b
ACTION MARK 1200 38 CONSIDERED_RELEVANT bbad73c002ed32a022f8b53949fe646b
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 5279c3b4c888e8435e81c91de9516368
ACTION DOC 1200 58 EXAMINING_DOCUMENT 5279c3b4c888e8435e81c91de9516368
ACTION MARK 1200 61 CONSIDERED_RELEVANT 5279c3b4c888e8435e81c91de9516368
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT d4e3b6f6fff13ef2bcdb6fb2fb39438f
ACTION DOC 1200 81 EXAMINING_DOCUMENT d4e3b6f6fff13ef2bcdb6fb2fb39438f
ACTION MARK 1200 84 CONSIDERED_RELEVANT d4e3b6f6fff13ef2bcdb6fb2fb39438f
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT b198caef4f05cca654efd3580f75db13
ACTION DOC 1200 104 EXAMINING_DOCUMENT b198caef4f05cca654efd3580f75db13
ACTION MARK 1200 107 CONSIDERED_RELEVANT b198caef4f05cca654efd3580f75db13
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT fe7c7fa4c448b3b6408a34af6e4af5b5
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 5b135012b72cf62b845c54c95365dc94
ACTION DOC 1200 127 EXAMINING_DOCUMENT 5b135012b72cf62b845c54c95365dc94
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT c2637e07e084eb3d074ebfd37accd16c
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 2f0477f29f6350168f8f04922f870747
ACTION DOC 1200 147 EXAMINING_DOCUMENT 2f0477f29f6350168f8f04922f870747
ACTION MARK 1200 150 CONSIDERED_RELEVANT 2f0477f29f6350168f8f04922f870747
ACTION QUERY 1200 160 tropical storms damage
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 1b79c1a287e1aaf76f2696c3b635c74d
ACTION DOC 1200 185 EXAMINING_DOCUMENT 1b79c1a287e1aaf76f2696c3b635c74d
ACTION SNIPPET 1200 185 SEEN_PREVIOUSLY bbad73c002ed32a022f8b53949fe646b
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 3db65b74f69047ad6fb0c2c30ac8a203
ACTION DOC 1200 205 EXAMINING_DOCUMENT 3db65b74f69047ad6fb0c2c30ac8a203
ACTION MARK 1200 208 CONSIDERED_RELEVANT 3db65b74f69047ad6fb0c2c30ac8a203
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 0dfd9ac9940525e64dcc985d945b4385
ACTION DOC 1200 228 EXAMINING_DOCUMENT 0dfd9ac9940525e64dcc985d945b4385
ACTION MARK 1200 231 CONSIDERED_RELEVANT 0dfd9ac9940525e64dcc985d945b4385
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 2c775df46c306ad57b2dd8e6fa68f628
ACTION DOC 1200 251 EXAMINING_DOCUMENT 2c775df46c306ad57b2dd8e6fa68f628
ACTION MARK 1200 254 CONSIDERED_RELEVANT 2c775df46c306ad57b2dd8e6fa68f628
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 0c0976c3a4e68558bcc0c9848dae2822
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 1d4821246ca0be682c03ecb86f46f560
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT fe7c7fa4c448b3b6408a34af6e4af5b5
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT a79aa5f72a0c6a51d93325dbf0fefbcc
ACTION DOC 1200 274 EXAMINING_DOCUMENT a79aa5f72a0c6a51d93325dbf0fefbcc
ACTION MARK 1200 277 CONSIDERED_RELEVANT a79aa5f72a0c6a51d93325dbf0fefbcc
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 58936c45d20fef49e2dbb88f1f35af01
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT d45850cf7342b0e92f6c9bf7e84cab21
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT c2637e07e084eb3d074ebfd37accd16c
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT 32e9e008-2b5b-11e6-9b37-42985f6a265c
ACTION DOC 1200 297 EXAMINING_DOCUMENT 32e9e008-2b5b-11e6-9b37-42985f6a265c
ACTION MARK 1200 300 CONSIDERED_RELEVANT 32e9e008-2b5b-11e6-9b37-42985f6a265c
ACTION QUERY 1200 310 tropical storms hurricanes
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 2c775df46c306ad57b2dd8e6fa68f628
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 5ac05a47d8abaa5e37cc2afcfa37d79b
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 90e9f10c272e9fdb819530ec3a54a78e
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT fbf85b6e5924ea7fbe4c4ac9aad82cdb
ACTION DOC 1200 335 EXAMINING_DOCUMENT fbf85b6e5924ea7fbe4c4ac9aad82cdb
ACTION SNIPPET 1200 335 SNIPPET_NOT_RELEVANT 714fb92dc380ea42cc89396c711f13d5
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT b77e2b0eecd34068dcc766f7022d105b
ACTION DOC 1200 355 EXAMINING_DOCUMENT b77e2b0eecd34068dcc766f7022d105b
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 4cb7f56e9573ec29d01d103f6b3bd740
ACTION DOC 1200 375 EXAMINING_DOCUMENT 4cb7f56e9573ec29d01d103f6b3bd740
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 9aa66a51340e2c12ced01956ee598541
ACTION DOC 1200 395 EXAMINING_DOCUMENT 9aa66a51340e2c12ced01956ee598541
ACTION MARK 1200 398 CONSIDERED_RELEVANT 9aa66a51340e2c12ced01956ee598541
ACTION SNIPPET 1200 398 SNIPPET_RELEVANT 4c4104b69c615c9dbb6ef7660f9a299d
ACTION DOC 1200 418 EXAMINING_DOCUMENT 4c4104b69c615c9dbb6ef7660f9a299d
ACTION SNIPPET 1200 418 SNIPPET_RELEVANT 6d5003ac06e5b8a21b2f037ab813d185
ACTION DOC 1200 438 EXAMINING_DOCUMENT 6d5003ac06e5b8a21b2f037ab813d185
ACTION QUERY 1200 448 tropical storms typhoons
ACTION SERP 1200 453 EXAMINE_SERP
ACTION SNIPPET 1200 453 SNIPPET_NOT_RELEVANT 0c0976c3a4e68558bcc0c9848dae2822
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT 39d6b7f3d3476b00863e188f985b1a99
ACTION DOC 1200 473 EXAMINING_DOCUMENT 39d6b7f3d3476b00863e188f985b1a99
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 3a4eca847a08a64ac22c3a0bce5306ab
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT bc55c2971911bfee0cb576abd98b81eb
ACTION SNIPPET 1200 473 SNIPPET_NOT_RELEVANT 7b79172cfcfd5dc10b8d9200a48c6c50
ACTION SNIPPET 1200 473 SNIPPET_RELEVANT 368ab5a3cbbdcf2c003bef9376235864
ACTION DOC 1200 493 EXAMINING_DOCUMENT 368ab5a3cbbdcf2c003bef9376235864
ACTION MARK 1200 496 CONSIDERED_RELEVANT 368ab5a3cbbdcf2c003bef9376235864
ACTION SNIPPET 1200 496 SNIPPET_RELEVANT 3e1eac685d36fab6e516fb6a2c1f7869
ACTION DOC 1200 516 EXAMINING_DOCUMENT 3e1eac685d36fab6e516fb6a2c1f7869
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 041a4b4747d72d99610b86a2f3809981
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 26d7621a0aac623fd6b16c49fae1414d
ACTION SNIPPET 1200 516 SNIPPET_NOT_RELEVANT 665c31ff256951085a2ff51325f66e53
ACTION SNIPPET 1200 516 SNIPPET_RELEVANT 22a9c882c90577b621d1007636426e33
ACTION DOC 1200 536 EXAMINING_DOCUMENT 22a9c882c90577b621d1007636426e33
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT dbdd474be8c4ce13ee09f5ad97bf9928
ACTION SNIPPET 1200 536 SEEN_PREVIOUSLY bbad73c002ed32a022f8b53949fe646b
ACTION SNIPPET 1200 536 SNIPPET_NOT_RELEVANT b73978ee0ddf0ec5fe121f76c4d55be6
ACTION SNIPPET 1200 536 SNIPPET_RELEVANT 1a18f7b59838025b7e5805c0ade82898
ACTION DOC 1200 556 EXAMINING_DOCUMENT 1a18f7b59838025b7e5805c0ade82898
ACTION MARK 1200 559 CONSIDERED_RELEVANT 1a18f7b59838025b7e5805c0ade82898
ACTION SNIPPET 1200 559 SNIPPET_RELEVANT 0d0c3ed15ba272da386908b1aef17900
ACTION DOC 1200 579 EXAMINING_DOCUMENT 0d0c3ed15ba272da386908b1aef17900
ACTION QUERY 1200 589 tropical storms significant
ACTION SERP 1200 594 EXAMINE_SERP
ACTION SNIPPET 1200 594 SNIPPET_RELEVANT cc0efc124f075466a5259f1fff779597
ACTION DOC 1200 614 EXAMINING_DOCUMENT cc0efc124f075466a5259f1fff779597
ACTION MARK 1200 617 CONSIDERED_RELEVANT cc0efc124f075466a5259f1fff779597
ACTION SNIPPET 1200 617 SEEN_PREVIOUSLY d4e3b6f6fff13ef2bcdb6fb2fb39438f
ACTION SNIPPET 1200 617 SEEN_PREVIOUSLY b198caef4f05cca654efd3580f75db13
ACTION SNIPPET 1200 617 SEEN_PREVIOUSLY 4c4104b69c615c9dbb6ef7660f9a299d
