ACTION START 1200 0 START
ACTION QUERY 1200 10 Cuba sugar exports
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 7b1abd9bff2d5f201df708ce1588c219
ACTION DOC 1200 35 EXAMINING_DOCUMENT 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 35 SNIPPET_RELEVANT 71844fee-afe0-11e4-886b-c22184f27c35
ACTION DOC 1200 55 EXAMINING_DOCUMENT 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 55 SNIPPET_RELEVANT d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION DOC 1200 75 EXAMINING_DOCUMENT d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION SNIPPET 1200 75 SNIPPET_RELEVANT c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION DOC 1200 95 EXAMINING_DOCUMENT c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 95 SNIPPET_RELEVANT fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION DOC 1200 115 EXAMINING_DOCUMENT fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 115 SNIPPET_RELEVANT 4192b016-8708-11e3-a5bd-844629433ba3
ACTION DOC 1200 135 EXAMINING_DOCUMENT 4192b016-8708-11e3-a5bd-844629433ba3
ACTION QUERY 1200 145 Cuban sugar trade
ACTION SERP 1200 150 EXAMINE_SERP
ACTION SNIPPET 1200 150 SNIPPET_RELEVANT 6eea741073a5e22ed36b9e873a2bf6f9
ACTION DOC 1200 170 EXAMINING_DOCUMENT 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 170 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 170 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 170 SNIPPET_RELEVANT 980efe40-c8a6-4d59-ae7c-32b58f4b9b94
ACTION DOC 1200 190 EXAMINING_DOCUMENT 980efe40-c8a6-4d59-ae7c-32b58f4b9b94
ACTION SNIPPET 1200 190 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 190 SNIPPET_RELEVANT bddd3d1a623ab2467dd042f3ee6f4574
ACTION DOC 1200 210 EXAMINING_DOCUMENT bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 210 SNIPPET_RELEVANT 0fd91d9e-984b-11e4-8005-1924ede3e54a
ACTION DOC 1200 230 EXAMINING_DOCUMENT 0fd91d9e-984b-11e4-8005-1924ede3e54a
ACTION SNIPPET 1200 230 SNIPPET_RELEVANT 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION DOC 1200 250 EXAMINING_DOCUMENT 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 250 SNIPPET_RELEVANT 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION DOC 1200 270 EXAMINING_DOCUMENT 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION QUERY 1200 280 Sugar export Cuba
ACTION SERP 1200 285 EXAMINE_SERP
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 285 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 285 SNIPPET_RELEVANT a36e13f2-c437-11e5-9693-933a4d31bcc8
ACTION DOC 1200 305 EXAMINING_DOCUMENT a36e13f2-c437-11e5-9693-933a4d31bcc8
ACTION SNIPPET 1200 305 SNIPPET_RELEVANT 45ae98265b8608dbc13f8c4b985a8f48
ACTION DOC 1200 325 EXAMINING_DOCUMENT 45ae98265b8608dbc13f8c4b985a8f48
ACTION SNIPPET 1200 325 SNIPPET_RELEVANT 59834264-3018-11e2-ac4a-33b8b41fb531
ACTION DOC 1200 345 EXAMINING_DOCUMENT 59834264-3018-11e2-ac4a-33b8b41fb531
ACTION SNIPPET 1200 345 SNIPPET_RELEVANT 23ca7926-84ad-11e4-abcf-5a3d7b3b20b8
ACTION DOC 1200 365 EXAMINING_DOCUMENT 23ca7926-84ad-11e4-abcf-5a3d7b3b20b8
ACTION SNIPPET 1200 365 SNIPPET_RELEVANT 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION DOC 1200 385 EXAMINING_DOCUMENT 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION SNIPPET 1200 385 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 385 SNIPPET_RELEVANT c9dacc46-dca3-11e4-be40-566e2653afe5
ACTION DOC 1200 405 EXAMINING_DOCUMENT c9dacc46-dca3-11e4-be40-566e2653afe5
ACTION QUERY 1200 415 Cuba international sugar
ACTION SERP 1200 420 EXAMINE_SERP
ACTION SNIPPET 1200 420 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 420 SNIPPET_RELEVANT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION DOC 1200 440 EXAMINING_DOCUMENT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION MARK 1200 443 CONSIDERED_RELEVANT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 443 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 443 SNIPPET_RELEVANT 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION DOC 1200 463 EXAMINING_DOCUMENT 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION SNIPPET 1200 463 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 463 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 463 SNIPPET_RELEVANT 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION DOC 1200 483 EXAMINING_DOCUMENT 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 483 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 483 SNIPPET_RELEVANT 76f438b0b98e9ad4ab8d4bd6286ca900
ACTION DOC 1200 503 EXAMINING_DOCUMENT 76f438b0b98e9ad4ab8d4bd6286ca900
ACTION SNIPPET 1200 503 SNIPPET_RELEVANT 41410c524fb7807f9966411b30759f5d
ACTION DOC 1200 523 EXAMINING_DOCUMENT 41410c524fb7807f9966411b30759f5d
ACTION SNIPPET 1200 523 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 523 SEEN_PREVIOUSLY 980efe40-c8a6-4d59-ae7c-32b58f4b9b94
ACTION SNIPPET 1200 523 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 523 SNIPPET_RELEVANT 57c32a06-2cb4-11e6-9b37-42985f6a265c
ACTION DOC 1200 543 EXAMINING_DOCUMENT 57c32a06-2cb4-11e6-9b37-42985f6a265c
ACTION QUERY 1200 553 Sugar imports from Cuba
ACTION SERP 1200 558 EXAMINE_SERP
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 558 SEEN_PREVIOUSLY 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 558 SNIPPET_RELEVANT ffdbe4ebb6f367bf58c0742b019f9fe7
ACTION DOC 1200 578 EXAMINING_DOCUMENT ffdbe4ebb6f367bf58c0742b019f9fe7
ACTION SNIPPET 1200 578 SEEN_PREVIOUSLY 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION SNIPPET 1200 578 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 578 SNIPPET_RELEVANT c2a666f2-a286-11e5-8318-bd8caed8c588
ACTION DOC 1200 598 EXAMINING_DOCUMENT c2a666f2-a286-11e5-8318-bd8caed8c588
ACTION SNIPPET 1200 598 SEEN_PREVIOUSLY 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION SNIPPET 1200 598 SNIPPET_RELEVANT f5959c06-5ac4-11e3-bf7e-f567ee61ae21
ACTION DOC 1200 618 EXAMINING_DOCUMENT f5959c06-5ac4-11e3-bf7e-f567ee61ae21
ACTION SNIPPET 1200 618 SEEN_PREVIOUSLY 57c32a06-2cb4-11e6-9b37-42985f6a265c
ACTION SNIPPET 1200 618 SNIPPET_RELEVANT fa3f3094-2381-11e2-ac85-e669876c6a24
ACTION DOC 1200 638 EXAMINING_DOCUMENT fa3f3094-2381-11e2-ac85-e669876c6a24
ACTION SNIPPET 1200 638 SNIPPET_RELEVANT 9d36feae058224b0ec71551846f3c41a
ACTION DOC 1200 658 EXAMINING_DOCUMENT 9d36feae058224b0ec71551846f3c41a
ACTION SNIPPET 1200 658 SNIPPET_RELEVANT 9956f0f8-1dc6-11e6-b6e0-c53b7ef63b45
ACTION DOC 1200 678 EXAMINING_DOCUMENT 9956f0f8-1dc6-11e6-b6e0-c53b7ef63b45
ACTION QUERY 1200 688 Cuban sugar industry exports
ACTION SERP 1200 693 EXAMINE_SERP
ACTION SNIPPET 1200 693 SNIPPET_RELEVANT aa329904-7cc7-11e5-beba-927fd8634498
ACTION DOC 1200 713 EXAMINING_DOCUMENT aa329904-7cc7-11e5-beba-927fd8634498
ACTION SNIPPET 1200 713 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 713 SNIPPET_RELEVANT 6082490a-53af-11e3-9fe0-fd2ca728e67c
ACTION DOC 1200 733 EXAMINING_DOCUMENT 6082490a-53af-11e3-9fe0-fd2ca728e67c
ACTION SNIPPET 1200 733 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 733 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 733 SNIPPET_RELEVANT 2961a1e260f35f43bd54d2d694d2a6fb
ACTION DOC 1200 753 EXAMINING_DOCUMENT 2961a1e260f35f43bd54d2d694d2a6fb
ACTION SNIPPET 1200 753 SEEN_PREVIOUSLY fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 753 SEEN_PREVIOUSLY c9dacc46-dca3-11e4-be40-566e2653afe5
ACTION SNIPPET 1200 753 SNIPPET_RELEVANT 260db0d9eae482592205647037d77c78
ACTION DOC 1200 773 EXAMINING_DOCUMENT 260db0d9eae482592205647037d77c78
ACTION SNIPPET 1200 773 SNIPPET_RELEVANT 347d01e0-4d4f-11e7-bc1b-fddbd8359dee
ACTION DOC 1200 793 EXAMINING_DOCUMENT 347d01e0-4d4f-11e7-bc1b-fddbd8359dee
ACTION SNIPPET 1200 793 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 793 SEEN_PREVIOUSLY 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION SNIPPET 1200 793 SNIPPET_RELEVANT 1b4bab3921e7194dac72ffcbe043be91
ACTION DOC 1200 813 EXAMINING_DOCUMENT 1b4bab3921e7194dac72ffcbe043be91
ACTION QUERY 1200 823 Export of sugar from Cuba
ACTION SERP 1200 828 EXAMINE_SERP
ACTION SNIPPET 1200 828 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 828 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
