ACTION START 1200 0 START
ACTION QUERY 1200 10 Cuba sugar exports
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 7b1abd9bff2d5f201df708ce1588c219
ACTION DOC 1200 35 EXAMINING_DOCUMENT 7b1abd9bff2d5f201df708ce1588c219
ACTION MARK 1200 38 CONSIDERED_RELEVANT 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 71844fee-afe0-11e4-886b-c22184f27c35
ACTION DOC 1200 58 EXAMINING_DOCUMENT 71844fee-afe0-11e4-886b-c22184f27c35
ACTION MARK 1200 61 CONSIDERED_RELEVANT 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION DOC 1200 81 EXAMINING_DOCUMENT d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION MARK 1200 84 CONSIDERED_RELEVANT d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION DOC 1200 104 EXAMINING_DOCUMENT c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 104 SNIPPET_RELEVANT fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION DOC 1200 124 EXAMINING_DOCUMENT fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION MARK 1200 127 CONSIDERED_RELEVANT fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 4192b016-8708-11e3-a5bd-844629433ba3
ACTION DOC 1200 147 EXAMINING_DOCUMENT 4192b016-8708-11e3-a5bd-844629433ba3
ACTION MARK 1200 150 CONSIDERED_RELEVANT 4192b016-8708-11e3-a5bd-844629433ba3
ACTION QUERY 1200 160 Cuban sugar industry
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION DOC 1200 185 EXAMINING_DOCUMENT 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION MARK 1200 188 CONSIDERED_RELEVANT 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 188 SNIPPET_RELEVANT 6eea741073a5e22ed36b9e873a2bf6f9
ACTION DOC 1200 208 EXAMINING_DOCUMENT 6eea741073a5e22ed36b9e873a2bf6f9
ACTION MARK 1200 211 CONSIDERED_RELEVANT 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 211 SNIPPET_RELEVANT bddd3d1a623ab2467dd042f3ee6f4574
ACTION DOC 1200 231 EXAMINING_DOCUMENT bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION DOC 1200 251 EXAMINING_DOCUMENT 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION MARK 1200 254 CONSIDERED_RELEVANT 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 9956f0f8-1dc6-11e6-b6e0-c53b7ef63b45
ACTION DOC 1200 274 EXAMINING_DOCUMENT 9956f0f8-1dc6-11e6-b6e0-c53b7ef63b45
ACTION SNIPPET 1200 274 SNIPPET_RELEVANT ffdbe4ebb6f367bf58c0742b019f9fe7
ACTION DOC 1200 294 EXAMINING_DOCUMENT ffdbe4ebb6f367bf58c0742b019f9fe7
ACTION QUERY 1200 304 Sugar production Cuba
ACTION SERP 1200 309 EXAMINE_SERP
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 309 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 309 SNIPPET_RELEVANT 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION DOC 1200 329 EXAMINING_DOCUMENT 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION SNIPPET 1200 329 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 329 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 329 SNIPPET_RELEVANT 0fd91d9e-984b-11e4-8005-1924ede3e54a
ACTION DOC 1200 349 EXAMINING_DOCUMENT 0fd91d9e-984b-11e4-8005-1924ede3e54a
ACTION SNIPPET 1200 349 SNIPPET_RELEVANT 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION DOC 1200 369 EXAMINING_DOCUMENT 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 369 SNIPPET_RELEVANT c2a666f2-a286-11e5-8318-bd8caed8c588
ACTION DOC 1200 389 EXAMINING_DOCUMENT c2a666f2-a286-11e5-8318-bd8caed8c588
ACTION SNIPPET 1200 389 SEEN_PREVIOUSLY ffdbe4ebb6f367bf58c0742b019f9fe7
ACTION SNIPPET 1200 389 SNIPPET_RELEVANT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION DOC 1200 409 EXAMINING_DOCUMENT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION MARK 1200 412 CONSIDERED_RELEVANT 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 412 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 412 SNIPPET_RELEVANT f5959c06-5ac4-11e3-bf7e-f567ee61ae21
ACTION DOC 1200 432 EXAMINING_DOCUMENT f5959c06-5ac4-11e3-bf7e-f567ee61ae21
ACTION QUERY 1200 442 Sugar trade Cuba
ACTION SERP 1200 447 EXAMINE_SERP
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY 0fd91d9e-984b-11e4-8005-1924ede3e54a
ACTION SNIPPET 1200 447 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 447 SNIPPET_RELEVANT 980efe40-c8a6-4d59-ae7c-32b58f4b9b94
ACTION DOC 1200 467 EXAMINING_DOCUMENT 980efe40-c8a6-4d59-ae7c-32b58f4b9b94
ACTION SNIPPET 1200 467 SEEN_PREVIOUSLY 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 467 SEEN_PREVIOUSLY 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 467 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 467 SNIPPET_RELEVANT 01b65de2-c737-11e4-b2a1-bed1aaea2816
ACTION DOC 1200 487 EXAMINING_DOCUMENT 01b65de2-c737-11e4-b2a1-bed1aaea2816
ACTION MARK 1200 490 CONSIDERED_RELEVANT 01b65de2-c737-11e4-b2a1-bed1aaea2816
ACTION SNIPPET 1200 490 SEEN_PREVIOUSLY f5959c06-5ac4-11e3-bf7e-f567ee61ae21
ACTION SNIPPET 1200 490 SNIPPET_RELEVANT ecb894ce-63a7-11e5-b38e-06883aacba64
ACTION DOC 1200 510 EXAMINING_DOCUMENT ecb894ce-63a7-11e5-b38e-06883aacba64
ACTION MARK 1200 513 CONSIDERED_RELEVANT ecb894ce-63a7-11e5-b38e-06883aacba64
ACTION SNIPPET 1200 513 SEEN_PREVIOUSLY d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION SNIPPET 1200 513 SEEN_PREVIOUSLY 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION SNIPPET 1200 513 SNIPPET_RELEVANT 45ae98265b8608dbc13f8c4b985a8f48
ACTION DOC 1200 533 EXAMINING_DOCUMENT 45ae98265b8608dbc13f8c4b985a8f48
ACTION SNIPPET 1200 533 SNIPPET_RELEVANT 964118e2-5ac9-11e4-9d6c-756a229d8b18
ACTION DOC 1200 553 EXAMINING_DOCUMENT 964118e2-5ac9-11e4-9d6c-756a229d8b18
ACTION SNIPPET 1200 553 SNIPPET_RELEVANT 2961a1e260f35f43bd54d2d694d2a6fb
ACTION DOC 1200 573 EXAMINING_DOCUMENT 2961a1e260f35f43bd54d2d694d2a6fb
ACTION QUERY 1200 583 Cuban exports sugar
ACTION SERP 1200 588 EXAMINE_SERP
ACTION SNIPPET 1200 588 SEEN_PREVIOUSLY 7b1abd9bff2d5f201df708ce1588c219
ACTION SNIPPET 1200 588 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 588 SEEN_PREVIOUSLY fce6034c-9cd1-11e4-bcfb-059ec7a93ddc
ACTION SNIPPET 1200 588 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 588 SNIPPET_RELEVANT a36e13f2-c437-11e5-9693-933a4d31bcc8
ACTION DOC 1200 608 EXAMINING_DOCUMENT a36e13f2-c437-11e5-9693-933a4d31bcc8
ACTION MARK 1200 611 CONSIDERED_RELEVANT a36e13f2-c437-11e5-9693-933a4d31bcc8
ACTION SNIPPET 1200 611 SEEN_PREVIOUSLY 71844fee-afe0-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 611 SEEN_PREVIOUSLY d37d38a2-d657-11e5-b195-2e29a4e13425
ACTION SNIPPET 1200 611 SNIPPET_RELEVANT 23ca7926-84ad-11e4-abcf-5a3d7b3b20b8
ACTION DOC 1200 631 EXAMINING_DOCUMENT 23ca7926-84ad-11e4-abcf-5a3d7b3b20b8
ACTION SNIPPET 1200 631 SNIPPET_RELEVANT 59834264-3018-11e2-ac4a-33b8b41fb531
ACTION DOC 1200 651 EXAMINING_DOCUMENT 59834264-3018-11e2-ac4a-33b8b41fb531
ACTION SNIPPET 1200 651 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 651 SNIPPET_RELEVANT 428d3c50-f107-11e5-a61f-e9c95c06edca
ACTION DOC 1200 671 EXAMINING_DOCUMENT 428d3c50-f107-11e5-a61f-e9c95c06edca
ACTION SNIPPET 1200 671 SNIPPET_RELEVANT 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION DOC 1200 691 EXAMINING_DOCUMENT 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION MARK 1200 694 CONSIDERED_RELEVANT 1e9f0d5a-1502-11e5-89f3-61410da94eb1
ACTION SNIPPET 1200 694 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 694 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 694 SEEN_PREVIOUSLY 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION SNIPPET 1200 694 SNIPPET_RELEVANT 260db0d9eae482592205647037d77c78
ACTION DOC 1200 714 EXAMINING_DOCUMENT 260db0d9eae482592205647037d77c78
ACTION QUERY 1200 724 Sugar Cuba news
ACTION SERP 1200 729 EXAMINE_SERP
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 4192b016-8708-11e3-a5bd-844629433ba3
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 61b17128-bd37-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 0234ad22-ee4f-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 60014b96-db1d-11e5-891a-4ed04f4213e8
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 6eea741073a5e22ed36b9e873a2bf6f9
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY bddd3d1a623ab2467dd042f3ee6f4574
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 4e8d5ed8-f598-11e4-bca5-21b51bbdf93e
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY 184fcf97d1fffe21ba8892cf2e7e68f5
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY c7a75332-f176-11e2-9008-61e94a7ea20d
ACTION SNIPPET 1200 729 SEEN_PREVIOUSLY c2a666f2-a286-11e5-8318-bd8caed8c588
