ACTION START 1200 0 START
ACTION QUERY 1200 10 dogs law enforcement
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 5b14e1ac12258322fd8a3990ff811651
ACTION DOC 1200 35 EXAMINING_DOCUMENT 5b14e1ac12258322fd8a3990ff811651
ACTION MARK 1200 38 CONSIDERED_RELEVANT 5b14e1ac12258322fd8a3990ff811651
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1d7acbe4-959d-11e2-b6f0-a5150a247b6a
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1d7acbe4-959d-11e2-b6f0-a5150a247b6a
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1d7acbe4-959d-11e2-b6f0-a5150a247b6a
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT e9943fbe-d613-11e3-8f7d-7786660fff7c
ACTION DOC 1200 81 EXAMINING_DOCUMENT e9943fbe-d613-11e3-8f7d-7786660fff7c
ACTION MARK 1200 84 CONSIDERED_RELEVANT e9943fbe-d613-11e3-8f7d-7786660fff7c
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT ed263256-8a37-11e6-bff0-d53f592f176e
ACTION DOC 1200 104 EXAMINING_DOCUMENT ed263256-8a37-11e6-bff0-d53f592f176e
ACTION MARK 1200 107 CONSIDERED_RELEVANT ed263256-8a37-11e6-bff0-d53f592f176e
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 13afe080-50ae-11e5-933e-7d06c647a395
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT cca075ec5ff4f899979ff1121014c979
ACTION DOC 1200 127 EXAMINING_DOCUMENT cca075ec5ff4f899979ff1121014c979
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 9ac63c22-98a0-11e2-814b-063623d80a60
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2
ACTION DOC 1200 147 EXAMINING_DOCUMENT 4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2
ACTION MARK 1200 150 CONSIDERED_RELEVANT 4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2
ACTION QUERY 1200 160 dogs law information
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 630e179e-1dc4-11e6-b6e0-c53b7ef63b45
ACTION DOC 1200 185 EXAMINING_DOCUMENT 630e179e-1dc4-11e6-b6e0-c53b7ef63b45
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 9cb0bf74-978c-11e5-aca6-1ae3be6f06d2
ACTION DOC 1200 205 EXAMINING_DOCUMENT 9cb0bf74-978c-11e5-aca6-1ae3be6f06d2
ACTION MARK 1200 208 CONSIDERED_RELEVANT 9cb0bf74-978c-11e5-aca6-1ae3be6f06d2
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 8dd3bf06-8ea1-11e3-b227-12a45d109e03
ACTION DOC 1200 228 EXAMINING_DOCUMENT 8dd3bf06-8ea1-11e3-b227-12a45d109e03
