ACTION START 1200 0 START
ACTION QUERY 1200 10 damage eyes discuss
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 1e0b6fe0301df817447a500626af83d8
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 05e8fc02cb913fd25c50fb19c10826dd
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 69ea8126d5c688dad6fe3f7189a119db
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 2a4cb9c85c98bb9056a61540fa4ddc5b
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 2e83ad87eb1bade22e6e96ece616c24f
ACTION DOC 1200 35 EXAMINING_DOCUMENT 2e83ad87eb1bade22e6e96ece616c24f
ACTION MARK 1200 38 CONSIDERED_RELEVANT 2e83ad87eb1bade22e6e96ece616c24f
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 984572671949e7a25bc412e60cba585c
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 61f7eecaef4803cade77f05bb011381d
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 02858ec02ebb419e4abe3833cd617412
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT de1c95651e8f4e1f8daabad5e02e50db
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 818bba148ccacf4da8119bb892b3b4eb
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 449ee072-cf7c-11e5-b2bc-988409ee911b
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT d50b9064-1b5a-11e5-ab92-c75ae6ab94b5
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 23b73f7fd425e5c7ec6ece9e0317fd9d
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 201a642c-f5bd-11e4-b2f3-af5479e6bbdd
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 60fe6cba-90d7-11e2-bdea-e32ad90da239
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT bbe3d079b4008008baaa180886c1ccf3
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 82e25c968840440a51a633548d44d572
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 18bd7885e44df97ffff0b2ea419fd0d1
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 90236f00b79cf2f4ae7ad1fd7226a96e
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 9c68843c-7856-11e7-8839-ec48ec4cae25
ACTION DOC 1200 58 EXAMINING_DOCUMENT 9c68843c-7856-11e7-8839-ec48ec4cae25
ACTION MARK 1200 61 CONSIDERED_RELEVANT 9c68843c-7856-11e7-8839-ec48ec4cae25
