ACTION START 1200 0 START
ACTION QUERY 1200 10 women clergy
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 14c2ffe2-43ba-11e2-8c8f-fbebf7ccab4e
ACTION DOC 1200 35 EXAMINING_DOCUMENT 14c2ffe2-43ba-11e2-8c8f-fbebf7ccab4e
ACTION MARK 1200 38 CONSIDERED_RELEVANT 14c2ffe2-43ba-11e2-8c8f-fbebf7ccab4e
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT f9bb4dbc-90ab-11e4-a900-9960214d4cd7
ACTION DOC 1200 58 EXAMINING_DOCUMENT f9bb4dbc-90ab-11e4-a900-9960214d4cd7
ACTION SNIPPET 1200 58 SNIPPET_RELEVANT 14b0cd1e1e136f67f14f0746adfef0fb
ACTION DOC 1200 78 EXAMINING_DOCUMENT 14b0cd1e1e136f67f14f0746adfef0fb
ACTION MARK 1200 81 CONSIDERED_RELEVANT 14b0cd1e1e136f67f14f0746adfef0fb
ACTION SNIPPET 1200 81 SNIPPET_RELEVANT be2ac24dc3069529cca7f88dfcdeaf39
ACTION DOC 1200 101 EXAMINING_DOCUMENT be2ac24dc3069529cca7f88dfcdeaf39
ACTION MARK 1200 104 CONSIDERED_RELEVANT be2ac24dc3069529cca7f88dfcdeaf39
ACTION SNIPPET 1200 104 SNIPPET_RELEVANT 42920f7e-25c8-11e5-b77f-eb13a215f593
ACTION DOC 1200 124 EXAMINING_DOCUMENT 42920f7e-25c8-11e5-b77f-eb13a215f593
ACTION MARK 1200 127 CONSIDERED_RELEVANT 42920f7e-25c8-11e5-b77f-eb13a215f593
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT f8cf1108-b80e-11e2-92f3-f291801936b8
ACTION DOC 1200 147 EXAMINING_DOCUMENT f8cf1108-b80e-11e2-92f3-f291801936b8
ACTION QUERY 1200 157 female clergy ordination
ACTION SERP 1200 162 EXAMINE_SERP
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 42920f7e-25c8-11e5-b77f-eb13a215f593
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 14c2ffe2-43ba-11e2-8c8f-fbebf7ccab4e
ACTION SNIPPET 1200 162 SNIPPET_RELEVANT c15e1feeb1de07e5a7f03381dd6d1db5
ACTION DOC 1200 182 EXAMINING_DOCUMENT c15e1feeb1de07e5a7f03381dd6d1db5
ACTION SNIPPET 1200 182 SNIPPET_RELEVANT 259c9bb7e4bea7c41262c1b8c114515a
ACTION DOC 1200 202 EXAMINING_DOCUMENT 259c9bb7e4bea7c41262c1b8c114515a
ACTION SNIPPET 1200 202 SEEN_PREVIOUSLY 14b0cd1e1e136f67f14f0746adfef0fb
ACTION SNIPPET 1200 202 SEEN_PREVIOUSLY be2ac24dc3069529cca7f88dfcdeaf39
ACTION SNIPPET 1200 202 SNIPPET_RELEVANT ea22a63a-f934-11e2-b018-5b8251f0c56e
ACTION DOC 1200 222 EXAMINING_DOCUMENT ea22a63a-f934-11e2-b018-5b8251f0c56e
ACTION SNIPPET 1200 222 SNIPPET_RELEVANT 83469b8a-caad-11e1-a740-17536be91cc6
ACTION DOC 1200 242 EXAMINING_DOCUMENT 83469b8a-caad-11e1-a740-17536be91cc6
ACTION SNIPPET 1200 242 SNIPPET_RELEVANT 9f6feab2-6ab7-11e4-9fb4-a622dae742a2
ACTION DOC 1200 262 EXAMINING_DOCUMENT 9f6feab2-6ab7-11e4-9fb4-a622dae742a2
ACTION SNIPPET 1200 262 SNIPPET_RELEVANT 64846d9347e3a5db00d973abf84a309b
ACTION DOC 1200 282 EXAMINING_DOCUMENT 64846d9347e3a5db00d973abf84a309b
ACTION QUERY 1200 292 women church leaders
ACTION SERP 1200 297 EXAMINE_SERP
ACTION SNIPPET 1200 297 SNIPPET_RELEVANT fcb5f862-9596-11e2-bc8a-934ce979aa74
ACTION DOC 1200 317 EXAMINING_DOCUMENT fcb5f862-9596-11e2-bc8a-934ce979aa74
ACTION SNIPPET 1200 317 SEEN_PREVIOUSLY c15e1feeb1de07e5a7f03381dd6d1db5
ACTION SNIPPET 1200 317 SEEN_PREVIOUSLY 259c9bb7e4bea7c41262c1b8c114515a
ACTION SNIPPET 1200 317 SNIPPET_RELEVANT b3f29b76-fb11-11e3-932c-0a55b81f48ce
ACTION DOC 1200 337 EXAMINING_DOCUMENT b3f29b76-fb11-11e3-932c-0a55b81f48ce
ACTION MARK 1200 340 CONSIDERED_RELEVANT b3f29b76-fb11-11e3-932c-0a55b81f48ce
ACTION SNIPPET 1200 340 SNIPPET_RELEVANT 12810031a1d3d6120b1fc12fdfca37f4
ACTION DOC 1200 360 EXAMINING_DOCUMENT 12810031a1d3d6120b1fc12fdfca37f4
ACTION SNIPPET 1200 360 SNIPPET_RELEVANT 86f95657748e328e39b56eb704cf4a82
ACTION DOC 1200 380 EXAMINING_DOCUMENT 86f95657748e328e39b56eb704cf4a82
ACTION SNIPPET 1200 380 SNIPPET_RELEVANT e30edf983b759aa9528c5180bcd0c2fb
ACTION DOC 1200 400 EXAMINING_DOCUMENT e30edf983b759aa9528c5180bcd0c2fb
ACTION SNIPPET 1200 400 SNIPPET_RELEVANT bdf8588f007dc69940c4bb382212b71e
ACTION DOC 1200 420 EXAMINING_DOCUMENT bdf8588f007dc69940c4bb382212b71e
ACTION QUERY 1200 430 women clergy ordination
ACTION SERP 1200 435 EXAMINE_SERP
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 42920f7e-25c8-11e5-b77f-eb13a215f593
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 14c2ffe2-43ba-11e2-8c8f-fbebf7ccab4e
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 14b0cd1e1e136f67f14f0746adfef0fb
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY c15e1feeb1de07e5a7f03381dd6d1db5
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 259c9bb7e4bea7c41262c1b8c114515a
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY ea22a63a-f934-11e2-b018-5b8251f0c56e
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY be2ac24dc3069529cca7f88dfcdeaf39
ACTION SNIPPET 1200 435 SEEN_PREVIOUSLY 83469b8a-caad-11e1-a740-17536be91cc6
ACTION SNIPPET 1200 435 SNIPPET_RELEVANT 0a0e266b93e7205ad94c698cd80b2066
ACTION DOC 1200 455 EXAMINING_DOCUMENT 0a0e266b93e7205ad94c698cd80b2066
ACTION SNIPPET 1200 455 SNIPPET_RELEVANT e244e3b7c478814e4aba1d7b47da3388
ACTION DOC 1200 475 EXAMINING_DOCUMENT e244e3b7c478814e4aba1d7b47da3388
ACTION SNIPPET 1200 475 SEEN_PREVIOUSLY 9f6feab2-6ab7-11e4-9fb4-a622dae742a2
