ACTION START 1200 0 START
ACTION QUERY 1200 10 polio vaccination africa
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT af98ec8e-f3d2-11e2-a2f1-a7acf9bd5d3a
ACTION DOC 1200 35 EXAMINING_DOCUMENT af98ec8e-f3d2-11e2-a2f1-a7acf9bd5d3a
ACTION MARK 1200 38 CONSIDERED_RELEVANT af98ec8e-f3d2-11e2-a2f1-a7acf9bd5d3a
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 29ce21d447826288e355432ea5096e87
ACTION DOC 1200 58 EXAMINING_DOCUMENT 29ce21d447826288e355432ea5096e87
ACTION MARK 1200 61 CONSIDERED_RELEVANT 29ce21d447826288e355432ea5096e87
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 84f0006a-5843-11e7-b38e-35fd8e0c288f
ACTION DOC 1200 81 EXAMINING_DOCUMENT 84f0006a-5843-11e7-b38e-35fd8e0c288f
ACTION MARK 1200 84 CONSIDERED_RELEVANT 84f0006a-5843-11e7-b38e-35fd8e0c288f
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT ba18fd9c-412e-11e5-8e7d-9c033e6745d8
ACTION DOC 1200 104 EXAMINING_DOCUMENT ba18fd9c-412e-11e5-8e7d-9c033e6745d8
ACTION MARK 1200 107 CONSIDERED_RELEVANT ba18fd9c-412e-11e5-8e7d-9c033e6745d8
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT ec74de16-caf0-11e2-9f1a-1a7cdee20287
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 8b52fd18281fe8371cb37e209c2eee6e
ACTION DOC 1200 127 EXAMINING_DOCUMENT 8b52fd18281fe8371cb37e209c2eee6e
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT b0235f56-1cce-11e4-ae54-0cfe1f974f8a
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 406c4f3e-df88-11e3-8dcc-d6b7fede081a
ACTION DOC 1200 147 EXAMINING_DOCUMENT 406c4f3e-df88-11e3-8dcc-d6b7fede081a
ACTION MARK 1200 150 CONSIDERED_RELEVANT 406c4f3e-df88-11e3-8dcc-d6b7fede081a
ACTION QUERY 1200 160 polio vaccination religious
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT b0235f56-1cce-11e4-ae54-0cfe1f974f8a
ACTION DOC 1200 185 EXAMINING_DOCUMENT b0235f56-1cce-11e4-ae54-0cfe1f974f8a
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT aacf96fc-768c-11e3-a647-a19deaf575b3
ACTION DOC 1200 205 EXAMINING_DOCUMENT aacf96fc-768c-11e3-a647-a19deaf575b3
ACTION MARK 1200 208 CONSIDERED_RELEVANT aacf96fc-768c-11e3-a647-a19deaf575b3
