ACTION START 1200 0 START
ACTION QUERY 1200 10 species invasive eating
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT ac0f0774-4e8d-11e6-aa14-e0c1087f7583
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT e61cbb4c-e449-11e3-8f90-73e071f3d637
ACTION DOC 1200 35 EXAMINING_DOCUMENT e61cbb4c-e449-11e3-8f90-73e071f3d637
ACTION MARK 1200 38 CONSIDERED_RELEVANT e61cbb4c-e449-11e3-8f90-73e071f3d637
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 11e179b59bd93810df5c4c2239d6d5ab
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT d3f8f80afc991385afc6eedaab8c248f
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 355d90baec651dead078a67af4ca722a
ACTION DOC 1200 58 EXAMINING_DOCUMENT 355d90baec651dead078a67af4ca722a
ACTION MARK 1200 61 CONSIDERED_RELEVANT 355d90baec651dead078a67af4ca722a
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 35368a40ba06a61892a1e50f24e38609
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT d69bb5166132bed0e845f7cc42d683d1
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 75e5fe3c-3afc-11e5-b3ac-8a79bc44e5e2
ACTION DOC 1200 81 EXAMINING_DOCUMENT 75e5fe3c-3afc-11e5-b3ac-8a79bc44e5e2
ACTION MARK 1200 84 CONSIDERED_RELEVANT 75e5fe3c-3afc-11e5-b3ac-8a79bc44e5e2
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT f3f3b5a67ab3abedfb7c85a00d1bdf68
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT e4df1712-1e02-11e6-8c7b-6931e66333e7
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT bf3ef4efc781603a4eaf5129c96d3ab0
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT f16c7a03b941c123fc24c4d6ef92ad9f
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 1cf0ba993d57886481300d21ea34ef25
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 527dca31f08352b1ff91e4ea671e1559
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT c5872f5978258eef3e1a6d4beb9b0ce8
ACTION DOC 1200 104 EXAMINING_DOCUMENT c5872f5978258eef3e1a6d4beb9b0ce8
ACTION MARK 1200 107 CONSIDERED_RELEVANT c5872f5978258eef3e1a6d4beb9b0ce8
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT f64bb93aca991a17d9ec36b2e293187e
ACTION DOC 1200 127 EXAMINING_DOCUMENT f64bb93aca991a17d9ec36b2e293187e
ACTION MARK 1200 130 CONSIDERED_RELEVANT f64bb93aca991a17d9ec36b2e293187e
ACTION QUERY 1200 140 species invasive viable
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT f3f3b5a67ab3abedfb7c85a00d1bdf68
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT ac0f0774-4e8d-11e6-aa14-e0c1087f7583
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT c3a02c22-71f3-11e1-958a-fd4578434472
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 14ee8df132ac705b1222c05b6166caad
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 355d90baec651dead078a67af4ca722a
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT ac785e24-1240-11e6-8967-7ac733c56f12
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 3c299500c63886fb798ccea0c9277c53
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT eee98d2c-08ea-11e7-bd19-fd3afa0f7e2a
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 8b773fd7b1bb49f07e065a9157349c3c
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d1dc0b447d5170f454638467d15d35fc
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 71e909fc-ac19-11e1-9369-05cf05b03c2e
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT c55588edc98f521daf95093ebb0c6282
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT fe1c7f6372a5cae043e6054f52388ce2
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY e61cbb4c-e449-11e3-8f90-73e071f3d637
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 9dac85dd57cb28a6c24fc4ea1e7a32d5
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d69bb5166132bed0e845f7cc42d683d1
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 822fd196-2f3c-11e2-a30e-5ca76eeec857
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 849b9449854b579542b7c8595f371902
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 11e179b59bd93810df5c4c2239d6d5ab
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d3f8f80afc991385afc6eedaab8c248f
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 70be3016-25ab-11e5-b621-b55e495e9b78
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 459c1c9e-c2f3-11e2-914f-a7aba60512a7
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT aaac8692b2d5de7bfbf57c3f1369b85d
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d3cb871a822e2cf71e7f584850299079
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 4cca08c98d7b13a5c94b9186e5c7df48
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT f6d97a12ec0b8539880bb3fddc33b50d
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 6d24a41e-3ff5-11e3-a751-f032898f2dbc
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 4679869bc07ec0bafd0bcf991e4e1a7a
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 9e0a26aa-bb67-11e4-9dfb-03366e719af8
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 35368a40ba06a61892a1e50f24e38609
