ACTION START 1200 0 START
ACTION QUERY 1200 10 treatment chavez describe
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT d7ec4262-8393-11e2-a350-49866afab584
ACTION DOC 1200 35 EXAMINING_DOCUMENT d7ec4262-8393-11e2-a350-49866afab584
ACTION MARK 1200 38 CONSIDERED_RELEVANT d7ec4262-8393-11e2-a350-49866afab584
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT e8efca52-779a-11e2-b102-948929030e64
ACTION DOC 1200 58 EXAMINING_DOCUMENT e8efca52-779a-11e2-b102-948929030e64
ACTION MARK 1200 61 CONSIDERED_RELEVANT e8efca52-779a-11e2-b102-948929030e64
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 479f8004-42cd-11e2-8e70-e1993528222d
ACTION DOC 1200 81 EXAMINING_DOCUMENT 479f8004-42cd-11e2-8e70-e1993528222d
ACTION MARK 1200 84 CONSIDERED_RELEVANT 479f8004-42cd-11e2-8e70-e1993528222d
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT f547b932-5fc6-11e1-a4d6-a4f9bab3599a
ACTION DOC 1200 104 EXAMINING_DOCUMENT f547b932-5fc6-11e1-a4d6-a4f9bab3599a
ACTION MARK 1200 107 CONSIDERED_RELEVANT f547b932-5fc6-11e1-a4d6-a4f9bab3599a
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 11915bd8-7944-11e2-9c27-fdd594ea6286
ACTION DOC 1200 127 EXAMINING_DOCUMENT 11915bd8-7944-11e2-9c27-fdd594ea6286
ACTION MARK 1200 130 CONSIDERED_RELEVANT 11915bd8-7944-11e2-9c27-fdd594ea6286
ACTION QUERY 1200 140 treatment chavez venezuelan
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY e8efca52-779a-11e2-b102-948929030e64
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 11915bd8-7944-11e2-9c27-fdd594ea6286
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 479f8004-42cd-11e2-8e70-e1993528222d
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT da235f08-b494-11e1-92df-14cd260b161d
ACTION DOC 1200 165 EXAMINING_DOCUMENT da235f08-b494-11e1-92df-14cd260b161d
ACTION MARK 1200 168 CONSIDERED_RELEVANT da235f08-b494-11e1-92df-14cd260b161d
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e
ACTION DOC 1200 188 EXAMINING_DOCUMENT ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e
ACTION MARK 1200 191 CONSIDERED_RELEVANT ee8f9b9a-4220-11e2-8c8f-fbebf7ccab4e
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9
ACTION DOC 1200 211 EXAMINING_DOCUMENT 4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9
ACTION MARK 1200 214 CONSIDERED_RELEVANT 4dd384ca-5a7e-11e2-9fa9-5fbdc9530eb9
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT e4ec782d9b8ec2dacb80df328ca88977
