ACTION START 1200 0 START
ACTION QUERY 1200 10 asteroid defense systems
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION DOC 1200 35 EXAMINING_DOCUMENT fd98676b565941d75b83d42029f3b6e6
ACTION MARK 1200 38 CONSIDERED_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION DOC 1200 58 EXAMINING_DOCUMENT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION MARK 1200 61 CONSIDERED_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION DOC 1200 81 EXAMINING_DOCUMENT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION MARK 1200 84 CONSIDERED_RELEVANT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT ca31d96cde54cdb0f60c8bc9812e8330
ACTION DOC 1200 104 EXAMINING_DOCUMENT ca31d96cde54cdb0f60c8bc9812e8330
ACTION SNIPPET 1200 104 SNIPPET_RELEVANT 06466ebb687d8f16b96fd67caf62b578
ACTION DOC 1200 124 EXAMINING_DOCUMENT 06466ebb687d8f16b96fd67caf62b578
ACTION SNIPPET 1200 124 SNIPPET_RELEVANT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION DOC 1200 144 EXAMINING_DOCUMENT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION MARK 1200 147 CONSIDERED_RELEVANT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION QUERY 1200 157 Asteroid defense systems
ACTION SERP 1200 162 EXAMINE_SERP
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY ca31d96cde54cdb0f60c8bc9812e8330
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 06466ebb687d8f16b96fd67caf62b578
ACTION SNIPPET 1200 162 SEEN_PREVIOUSLY 1c0b03c908aa352a0c1e4452f083f4c5
ACTION SNIPPET 1200 162 SNIPPET_RELEVANT 18fb22d258b79b0a24e56d81eccfd232
ACTION DOC 1200 182 EXAMINING_DOCUMENT 18fb22d258b79b0a24e56d81eccfd232
ACTION SNIPPET 1200 182 SNIPPET_RELEVANT c29b888990918ed0c996cf90e0bef757
ACTION DOC 1200 202 EXAMINING_DOCUMENT c29b888990918ed0c996cf90e0bef757
ACTION SNIPPET 1200 202 SNIPPET_RELEVANT 36bc6d3e08300e97b2ce769fd467b3d4
ACTION DOC 1200 222 EXAMINING_DOCUMENT 36bc6d3e08300e97b2ce769fd467b3d4
ACTION SNIPPET 1200 222 SNIPPET_RELEVANT bfcbd16407d99d7b717a9df590d2603e
ACTION DOC 1200 242 EXAMINING_DOCUMENT bfcbd16407d99d7b717a9df590d2603e
ACTION SNIPPET 1200 242 SNIPPET_RELEVANT b3a417d0-77a5-11e2-aa12-e6cf1d31106b
ACTION DOC 1200 262 EXAMINING_DOCUMENT b3a417d0-77a5-11e2-aa12-e6cf1d31106b
ACTION SNIPPET 1200 262 SNIPPET_RELEVANT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION DOC 1200 282 EXAMINING_DOCUMENT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION QUERY 1200 292 NASA asteroid protection
ACTION SERP 1200 297 EXAMINE_SERP
ACTION SNIPPET 1200 297 SEEN_PREVIOUSLY 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 297 SNIPPET_RELEVANT 3b78d94e70bf677472273d0fd525c036
