ACTION START 1200 0 START
ACTION QUERY 1200 10 protect earth asteroids
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION DOC 1200 35 EXAMINING_DOCUMENT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION MARK 1200 38 CONSIDERED_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION DOC 1200 58 EXAMINING_DOCUMENT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION MARK 1200 61 CONSIDERED_RELEVANT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION DOC 1200 81 EXAMINING_DOCUMENT fd98676b565941d75b83d42029f3b6e6
ACTION MARK 1200 84 CONSIDERED_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 3b78d94e70bf677472273d0fd525c036
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 615d5848-73cb-11e2-aa12-e6cf1d31106b
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 02e52bdba097c9df4cbae66e04f82542
ACTION DOC 1200 104 EXAMINING_DOCUMENT 02e52bdba097c9df4cbae66e04f82542
ACTION MARK 1200 107 CONSIDERED_RELEVANT 02e52bdba097c9df4cbae66e04f82542
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 34d4708d7cce27237b991c02c98eeeb5
ACTION DOC 1200 127 EXAMINING_DOCUMENT 34d4708d7cce27237b991c02c98eeeb5
ACTION MARK 1200 130 CONSIDERED_RELEVANT 34d4708d7cce27237b991c02c98eeeb5
ACTION QUERY 1200 140 protect earth efforts
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d59f4f6da12eb40590d88f491e68cb1a
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 768b9ed71792c11621505ed0920fee45
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT aaba8c45a0901ab2952522615c4865f5
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 5b15f4f9d040c235bf9e7d42ee96a670
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT e7d6e95d5a5770093c043325c238b7ea
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 4cc841dc-055d-11e6-b283-e79d81c63c1b
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT befc6052-6ea6-11e4-a2c2-478179fd0489
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 801046f756c162de55b3a36341d8a3a2
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 4cf831e851989454c06e28699dc01f88
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT e72b3232-30d9-11e6-ab9d-1da2b0f24f93
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT faa8d214937610d8704852f7d8898730
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT f9501e38b29e38cac0fa88d819d3d70e
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 64a1314b87f98955835403837882dd24
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT cb732d03d65fc15397725f3834d51d27
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 1ddd12feff2227321553dcdce716c5b8
