ACTION START 1200 0 START
ACTION QUERY 1200 10 asteroid defense systems
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION DOC 1200 35 EXAMINING_DOCUMENT fd98676b565941d75b83d42029f3b6e6
ACTION MARK 1200 38 CONSIDERED_RELEVANT fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION DOC 1200 58 EXAMINING_DOCUMENT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION MARK 1200 61 CONSIDERED_RELEVANT 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION DOC 1200 81 EXAMINING_DOCUMENT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION MARK 1200 84 CONSIDERED_RELEVANT 3cc08720-7bc4-11e2-82e8-61a46c2cde3d
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT ca31d96cde54cdb0f60c8bc9812e8330
ACTION DOC 1200 104 EXAMINING_DOCUMENT ca31d96cde54cdb0f60c8bc9812e8330
ACTION MARK 1200 107 CONSIDERED_RELEVANT ca31d96cde54cdb0f60c8bc9812e8330
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 06466ebb687d8f16b96fd67caf62b578
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION DOC 1200 127 EXAMINING_DOCUMENT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION MARK 1200 130 CONSIDERED_RELEVANT 1c0b03c908aa352a0c1e4452f083f4c5
ACTION QUERY 1200 140 protect Earth from asteroids
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 5e8d3671f7dcf4a27b0175f2153a970e
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION DOC 1200 165 EXAMINING_DOCUMENT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION MARK 1200 168 CONSIDERED_RELEVANT 3e6675f30e85fcdb665cd735fd40d9e7
ACTION SNIPPET 1200 168 SEEN_PREVIOUSLY fd98676b565941d75b83d42029f3b6e6
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 3b78d94e70bf677472273d0fd525c036
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 615d5848-73cb-11e2-aa12-e6cf1d31106b
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 02e52bdba097c9df4cbae66e04f82542
ACTION DOC 1200 188 EXAMINING_DOCUMENT 02e52bdba097c9df4cbae66e04f82542
ACTION MARK 1200 191 CONSIDERED_RELEVANT 02e52bdba097c9df4cbae66e04f82542
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 34d4708d7cce27237b991c02c98eeeb5
ACTION DOC 1200 211 EXAMINING_DOCUMENT 34d4708d7cce27237b991c02c98eeeb5
ACTION MARK 1200 214 CONSIDERED_RELEVANT 34d4708d7cce27237b991c02c98eeeb5
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 6332253b6302522cbe1310c1d8eb7c18
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT fbf7c6f141aa464306312d39a71d10f4
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 3602eecb7eb0aade993666e115e9ab0b
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT e42f57876b7b84a98ab9e7d456be4299
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 067aa1db5f61861eeb07695ddf4f6789
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 188ca2584f27ea021ab8599779933e73
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT d55cd235f4fd3b2dc82bf743a97bcef2
