ACTION START 1200 0 START
ACTION QUERY 1200 10 child impact china
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT f52d203c-51f4-11e3-9e2c-e1d01116fd98
ACTION DOC 1200 35 EXAMINING_DOCUMENT f52d203c-51f4-11e3-9e2c-e1d01116fd98
ACTION MARK 1200 38 CONSIDERED_RELEVANT f52d203c-51f4-11e3-9e2c-e1d01116fd98
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 582c4702-8183-11e5-8bd2-680fff868306
ACTION DOC 1200 58 EXAMINING_DOCUMENT 582c4702-8183-11e5-8bd2-680fff868306
ACTION MARK 1200 61 CONSIDERED_RELEVANT 582c4702-8183-11e5-8bd2-680fff868306
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT c55cc80b-3b3d-49f7-827a-52416946c394
ACTION DOC 1200 81 EXAMINING_DOCUMENT c55cc80b-3b3d-49f7-827a-52416946c394
ACTION MARK 1200 84 CONSIDERED_RELEVANT c55cc80b-3b3d-49f7-827a-52416946c394
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 5c9e011d2ec3d4e4c1d6aa5faee54c78
ACTION DOC 1200 104 EXAMINING_DOCUMENT 5c9e011d2ec3d4e4c1d6aa5faee54c78
ACTION MARK 1200 107 CONSIDERED_RELEVANT 5c9e011d2ec3d4e4c1d6aa5faee54c78
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT d8014bc0-1936-11e7-bcc2-7d1a0973e7b2
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT bdc62ebe-e96b-11e2-8f22-de4bd2a2bd39
ACTION DOC 1200 127 EXAMINING_DOCUMENT bdc62ebe-e96b-11e2-8f22-de4bd2a2bd39
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 8e4c7f1a0273b41b04885d44b4be30d4
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 6c885b64-7f3f-11e5-b575-d8dcfedb4ea1
ACTION DOC 1200 147 EXAMINING_DOCUMENT 6c885b64-7f3f-11e5-b575-d8dcfedb4ea1
ACTION MARK 1200 150 CONSIDERED_RELEVANT 6c885b64-7f3f-11e5-b575-d8dcfedb4ea1
ACTION QUERY 1200 160 child impact policy
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 4c626f9f791d52a9a78f13006ca79869
ACTION DOC 1200 185 EXAMINING_DOCUMENT 4c626f9f791d52a9a78f13006ca79869
ACTION SNIPPET 1200 185 SEEN_PREVIOUSLY 582c4702-8183-11e5-8bd2-680fff868306
ACTION SNIPPET 1200 185 SEEN_PREVIOUSLY f52d203c-51f4-11e3-9e2c-e1d01116fd98
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 50e6121191bdd04fac9474777e4dded9
ACTION DOC 1200 205 EXAMINING_DOCUMENT 50e6121191bdd04fac9474777e4dded9
ACTION MARK 1200 208 CONSIDERED_RELEVANT 50e6121191bdd04fac9474777e4dded9
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT def45c4ae2317629a20982794c2717d7
ACTION DOC 1200 228 EXAMINING_DOCUMENT def45c4ae2317629a20982794c2717d7
