ACTION START 1200 0 START
ACTION QUERY 1200 10 jason rezaian washington
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 24a861de-2b0e-11e5-a5ea-cf74396e59ec
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT b06f153dcaa4b0b5f00840c1d4ba6d6d
ACTION DOC 1200 35 EXAMINING_DOCUMENT b06f153dcaa4b0b5f00840c1d4ba6d6d
ACTION MARK 1200 38 CONSIDERED_RELEVANT b06f153dcaa4b0b5f00840c1d4ba6d6d
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT f0cb23e0-985b-11e5-94f0-9eeaff906ef3
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 9435a5a8-037b-11e5-a428-c984eb077d4e
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 452af84c-9213-11e5-a2d6-f57908580b1f
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT f808791e521eaa3912e1be156f956e70
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT e27e6cde-e1f9-11e4-81ea-0649268f729e
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT 811bb46e-2cd7-11e5-bd33-395c05608059
ACTION SNIPPET 1200 38 SNIPPET_NOT_RELEVANT e01e966a-c978-11e4-a199-6cb5e63819d2
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT c013b4e347f9fa7e088a038ead063ec7
ACTION DOC 1200 58 EXAMINING_DOCUMENT c013b4e347f9fa7e088a038ead063ec7
ACTION MARK 1200 61 CONSIDERED_RELEVANT c013b4e347f9fa7e088a038ead063ec7
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT ece5f72ae40be8a8bb639908d2cf03f8
ACTION DOC 1200 81 EXAMINING_DOCUMENT ece5f72ae40be8a8bb639908d2cf03f8
ACTION MARK 1200 84 CONSIDERED_RELEVANT ece5f72ae40be8a8bb639908d2cf03f8
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT d1c9591e-7f05-11e4-8882-03cf08410beb
ACTION DOC 1200 104 EXAMINING_DOCUMENT d1c9591e-7f05-11e4-8882-03cf08410beb
ACTION MARK 1200 107 CONSIDERED_RELEVANT d1c9591e-7f05-11e4-8882-03cf08410beb
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT 4572c4d6-45e4-11e5-8ab4-c73967a143d3
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT f37a4092-65be-11e4-bb14-4cfea1e742d5
ACTION DOC 1200 127 EXAMINING_DOCUMENT f37a4092-65be-11e4-bb14-4cfea1e742d5
ACTION MARK 1200 130 CONSIDERED_RELEVANT f37a4092-65be-11e4-bb14-4cfea1e742d5
ACTION QUERY 1200 140 jason rezaian post
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 24a861de-2b0e-11e5-a5ea-cf74396e59ec
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT f0cb23e0-985b-11e5-94f0-9eeaff906ef3
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY b06f153dcaa4b0b5f00840c1d4ba6d6d
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 452af84c-9213-11e5-a2d6-f57908580b1f
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT 9ab08930-5005-11e5-8c19-0b6825aa4a3a
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT d71c4f58-2fd5-11e5-97ae-30a30cca95d7
ACTION SNIPPET 1200 145 SNIPPET_NOT_RELEVANT e27e6cde-e1f9-11e4-81ea-0649268f729e
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 097cde8e-70f6-11e5-9cbb-790369643cf9
ACTION DOC 1200 165 EXAMINING_DOCUMENT 097cde8e-70f6-11e5-9cbb-790369643cf9
ACTION MARK 1200 168 CONSIDERED_RELEVANT 097cde8e-70f6-11e5-9cbb-790369643cf9
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT e01e966a-c978-11e4-a199-6cb5e63819d2
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 9435a5a8-037b-11e5-a428-c984eb077d4e
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT bfb5c112-912f-11e5-befa-99ceebcbb272
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT f808791e521eaa3912e1be156f956e70
ACTION SNIPPET 1200 168 SEEN_PREVIOUSLY d1c9591e-7f05-11e4-8882-03cf08410beb
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT d62fdd64-62cd-11e5-8e9e-dce8a2a2a679
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 14126822-7403-11e5-8d93-0af317ed58c9
ACTION DOC 1200 188 EXAMINING_DOCUMENT 14126822-7403-11e5-8d93-0af317ed58c9
ACTION MARK 1200 191 CONSIDERED_RELEVANT 14126822-7403-11e5-8d93-0af317ed58c9
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 4572c4d6-45e4-11e5-8ab4-c73967a143d3
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 988879bd08b7239aa62719682dee1d18
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 811bb46e-2cd7-11e5-bd33-395c05608059
ACTION SNIPPET 1200 191 SEEN_PREVIOUSLY c013b4e347f9fa7e088a038ead063ec7
ACTION SNIPPET 1200 191 SEEN_PREVIOUSLY ece5f72ae40be8a8bb639908d2cf03f8
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 31992446-b07f-11e4-886b-c22184f27c35
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT f9378c50283a35fbf843adf84c9c015b
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 5e586246-6b7b-11e5-9bfe-e59f5e244f92
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT b1652690-ee9e-11e4-8abc-d6aa3bad79dd
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT abf36bdd93d2f577ea4eb4cf99915201
