ACTION START 1200 0 START
ACTION QUERY 1200 10 eggs healthy diet
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION DOC 1200 35 EXAMINING_DOCUMENT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION MARK 1200 38 CONSIDERED_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION DOC 1200 58 EXAMINING_DOCUMENT a2744bb98e1968307548e4976232cf1c
ACTION MARK 1200 61 CONSIDERED_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION DOC 1200 81 EXAMINING_DOCUMENT d103b4d659726eacfb00ffe32425852a
ACTION MARK 1200 84 CONSIDERED_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION DOC 1200 104 EXAMINING_DOCUMENT 76e0a0623e3112908514198e0dc07c74
ACTION MARK 1200 107 CONSIDERED_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT b1d594261f0a26bbad4a55e12d3c910c
ACTION DOC 1200 127 EXAMINING_DOCUMENT b1d594261f0a26bbad4a55e12d3c910c
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT d6c5b674-7949-11e7-8839-ec48ec4cae25
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT e4b1f922-b64f-11e6-b8df-600bd9d38a02
ACTION DOC 1200 147 EXAMINING_DOCUMENT e4b1f922-b64f-11e6-b8df-600bd9d38a02
ACTION MARK 1200 150 CONSIDERED_RELEVANT e4b1f922-b64f-11e6-b8df-600bd9d38a02
ACTION QUERY 1200 160 eggs healthy support
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT f6a5f8f814906832c3ca6af005304884
ACTION DOC 1200 185 EXAMINING_DOCUMENT f6a5f8f814906832c3ca6af005304884
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT a1e1dd0c629e1df4b8fbfa9c202f3477
ACTION DOC 1200 205 EXAMINING_DOCUMENT a1e1dd0c629e1df4b8fbfa9c202f3477
ACTION MARK 1200 208 CONSIDERED_RELEVANT a1e1dd0c629e1df4b8fbfa9c202f3477
ACTION SNIPPET 1200 208 SEEN_PREVIOUSLY b1d594261f0a26bbad4a55e12d3c910c
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 23589654-0481-11e5-8bda-c7b4e9a8f7ac
ACTION DOC 1200 228 EXAMINING_DOCUMENT 23589654-0481-11e5-8bda-c7b4e9a8f7ac
ACTION MARK 1200 231 CONSIDERED_RELEVANT 23589654-0481-11e5-8bda-c7b4e9a8f7ac
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 1a47d6e88520be5859a6da5d5c170620
ACTION DOC 1200 251 EXAMINING_DOCUMENT 1a47d6e88520be5859a6da5d5c170620
ACTION MARK 1200 254 CONSIDERED_RELEVANT 1a47d6e88520be5859a6da5d5c170620
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY d103b4d659726eacfb00ffe32425852a
ACTION SNIPPET 1200 254 SEEN_PREVIOUSLY a2744bb98e1968307548e4976232cf1c
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 75ca2c0e-ec6b-11e5-a9ce-681055c7a05f
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 10c3a176-97e8-11e2-814b-063623d80a60
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT ef5fc29a-d6fa-11e4-ba28-f2a685dc7f89
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION DOC 1200 274 EXAMINING_DOCUMENT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION MARK 1200 277 CONSIDERED_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 04c37774-c66e-11e3-9f37-7ce307c56815
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT c61356ca-bbaf-11e3-96ae-f2c36d2b1245
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT e3629c1c-9aeb-11e2-9a79-eb5280c81c63
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT aa0df3ac0e511c56056980245602db21
ACTION DOC 1200 297 EXAMINING_DOCUMENT aa0df3ac0e511c56056980245602db21
