ACTION START 1200 0 START
ACTION QUERY 1200 10 healthy diet eggs
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION DOC 1200 35 EXAMINING_DOCUMENT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION MARK 1200 38 CONSIDERED_RELEVANT 43ba8dd9b64916781fc2732e65f0d1fe
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION DOC 1200 58 EXAMINING_DOCUMENT a2744bb98e1968307548e4976232cf1c
ACTION MARK 1200 61 CONSIDERED_RELEVANT a2744bb98e1968307548e4976232cf1c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION DOC 1200 81 EXAMINING_DOCUMENT d103b4d659726eacfb00ffe32425852a
ACTION MARK 1200 84 CONSIDERED_RELEVANT d103b4d659726eacfb00ffe32425852a
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION DOC 1200 104 EXAMINING_DOCUMENT 76e0a0623e3112908514198e0dc07c74
ACTION MARK 1200 107 CONSIDERED_RELEVANT 76e0a0623e3112908514198e0dc07c74
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION DOC 1200 127 EXAMINING_DOCUMENT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION MARK 1200 130 CONSIDERED_RELEVANT dd3b6fba-9780-11e4-927a-4fa2638cd1b0
ACTION QUERY 1200 140 cholesterol food guidelines
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY a2744bb98e1968307548e4976232cf1c
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY d103b4d659726eacfb00ffe32425852a
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT dc7403dd8b8226bd312ce0bb6267ca98
ACTION DOC 1200 165 EXAMINING_DOCUMENT dc7403dd8b8226bd312ce0bb6267ca98
ACTION MARK 1200 168 CONSIDERED_RELEVANT dc7403dd8b8226bd312ce0bb6267ca98
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 4a4dba885e0299df771f0eaaab1cb352
ACTION DOC 1200 188 EXAMINING_DOCUMENT 4a4dba885e0299df771f0eaaab1cb352
ACTION MARK 1200 191 CONSIDERED_RELEVANT 4a4dba885e0299df771f0eaaab1cb352
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 7971a6eb0db26ad649aefd3f8855cd94
ACTION DOC 1200 211 EXAMINING_DOCUMENT 7971a6eb0db26ad649aefd3f8855cd94
ACTION MARK 1200 214 CONSIDERED_RELEVANT 7971a6eb0db26ad649aefd3f8855cd94
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT 16737bf52eec90edff3ceb84700b5d02
ACTION DOC 1200 234 EXAMINING_DOCUMENT 16737bf52eec90edff3ceb84700b5d02
ACTION MARK 1200 237 CONSIDERED_RELEVANT 16737bf52eec90edff3ceb84700b5d02
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT 54556fb6fcecfb791b8dd809add85220
ACTION DOC 1200 257 EXAMINING_DOCUMENT 54556fb6fcecfb791b8dd809add85220
ACTION MARK 1200 260 CONSIDERED_RELEVANT 54556fb6fcecfb791b8dd809add85220
ACTION QUERY 1200 270 cholesterol in diet
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 43ba8dd9b64916781fc2732e65f0d1fe
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT 5a5424d2-9769-11e4-8005-1924ede3e54a
ACTION DOC 1200 295 EXAMINING_DOCUMENT 5a5424d2-9769-11e4-8005-1924ede3e54a
ACTION SNIPPET 1200 295 SNIPPET_RELEVANT 9237115e4f4bfb132e6132a87a28a28b
ACTION DOC 1200 315 EXAMINING_DOCUMENT 9237115e4f4bfb132e6132a87a28a28b
ACTION MARK 1200 318 CONSIDERED_RELEVANT 9237115e4f4bfb132e6132a87a28a28b
ACTION SNIPPET 1200 318 SEEN_PREVIOUSLY 7971a6eb0db26ad649aefd3f8855cd94
ACTION SNIPPET 1200 318 SEEN_PREVIOUSLY 16737bf52eec90edff3ceb84700b5d02
ACTION SNIPPET 1200 318 SEEN_PREVIOUSLY 54556fb6fcecfb791b8dd809add85220
ACTION SNIPPET 1200 318 SNIPPET_RELEVANT 9c53ef7d32c64a2b9c405d5f65b3c10b
ACTION DOC 1200 338 EXAMINING_DOCUMENT 9c53ef7d32c64a2b9c405d5f65b3c10b
ACTION MARK 1200 341 CONSIDERED_RELEVANT 9c53ef7d32c64a2b9c405d5f65b3c10b
