ACTION START 1200 0 START
ACTION QUERY 1200 10 bacterial infection mortality
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT ba09cd4a-162b-11e6-9e16-2e5a123aac62
ACTION DOC 1200 35 EXAMINING_DOCUMENT ba09cd4a-162b-11e6-9e16-2e5a123aac62
ACTION MARK 1200 38 CONSIDERED_RELEVANT ba09cd4a-162b-11e6-9e16-2e5a123aac62
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 1d6f600e-8a60-11e6-b24f-a7f89eb68887
ACTION DOC 1200 58 EXAMINING_DOCUMENT 1d6f600e-8a60-11e6-b24f-a7f89eb68887
ACTION MARK 1200 61 CONSIDERED_RELEVANT 1d6f600e-8a60-11e6-b24f-a7f89eb68887
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 9d78bc26-aad1-11e3-98f6-8e3c562f9996
ACTION DOC 1200 81 EXAMINING_DOCUMENT 9d78bc26-aad1-11e3-98f6-8e3c562f9996
ACTION MARK 1200 84 CONSIDERED_RELEVANT 9d78bc26-aad1-11e3-98f6-8e3c562f9996
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT e61570ac-26d6-11e3-b75d-5b7f66349852
ACTION DOC 1200 104 EXAMINING_DOCUMENT e61570ac-26d6-11e3-b75d-5b7f66349852
ACTION MARK 1200 107 CONSIDERED_RELEVANT e61570ac-26d6-11e3-b75d-5b7f66349852
ACTION SNIPPET 1200 107 SNIPPET_NOT_RELEVANT fba50218-62d2-11e5-8e9e-dce8a2a2a679
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT 0cb439142ab18761bc81b6dfad90ae85
ACTION DOC 1200 127 EXAMINING_DOCUMENT 0cb439142ab18761bc81b6dfad90ae85
ACTION SNIPPET 1200 127 SNIPPET_NOT_RELEVANT 9e8546d8-6a1f-11e1-b756-60ee4e23a039
ACTION SNIPPET 1200 127 SNIPPET_RELEVANT 013613f4-29e5-11e2-bab2-eda299503684
ACTION DOC 1200 147 EXAMINING_DOCUMENT 013613f4-29e5-11e2-bab2-eda299503684
ACTION MARK 1200 150 CONSIDERED_RELEVANT 013613f4-29e5-11e2-bab2-eda299503684
ACTION QUERY 1200 160 infection death rate
ACTION SERP 1200 165 EXAMINE_SERP
ACTION SNIPPET 1200 165 SNIPPET_RELEVANT 949bd7be-d84a-11e2-9df4-895344c13c30
ACTION DOC 1200 185 EXAMINING_DOCUMENT 949bd7be-d84a-11e2-9df4-895344c13c30
ACTION SNIPPET 1200 185 SNIPPET_RELEVANT 63b5d935a2fb3f04f105ae1254e4f585
ACTION DOC 1200 205 EXAMINING_DOCUMENT 63b5d935a2fb3f04f105ae1254e4f585
ACTION MARK 1200 208 CONSIDERED_RELEVANT 63b5d935a2fb3f04f105ae1254e4f585
ACTION SNIPPET 1200 208 SNIPPET_RELEVANT 5f13736a56d7c0a6f4de871420b0beff
ACTION DOC 1200 228 EXAMINING_DOCUMENT 5f13736a56d7c0a6f4de871420b0beff
ACTION MARK 1200 231 CONSIDERED_RELEVANT 5f13736a56d7c0a6f4de871420b0beff
ACTION SNIPPET 1200 231 SNIPPET_RELEVANT 9237fd088033c782631f034440b59a72
ACTION DOC 1200 251 EXAMINING_DOCUMENT 9237fd088033c782631f034440b59a72
ACTION MARK 1200 254 CONSIDERED_RELEVANT 9237fd088033c782631f034440b59a72
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT dd9c4b8fbdfa2081b898a219a803bf05
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT 3dabec7547ab20d201379ecfa7b8e826
ACTION SNIPPET 1200 254 SNIPPET_NOT_RELEVANT eff7982e-42c9-11e4-9a15-137aa0153527
ACTION SNIPPET 1200 254 SNIPPET_RELEVANT 3e9c9d6e-113e-11e6-81b4-581a5c4c42df
ACTION DOC 1200 274 EXAMINING_DOCUMENT 3e9c9d6e-113e-11e6-81b4-581a5c4c42df
ACTION MARK 1200 277 CONSIDERED_RELEVANT 3e9c9d6e-113e-11e6-81b4-581a5c4c42df
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT a7a6ec06-d2ed-11e3-8a78-8fe50322a72c
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT be493f4b8f808b0df2621a8cd8990d7a
ACTION SNIPPET 1200 277 SNIPPET_NOT_RELEVANT 9f4ceef2-7fbd-11e4-8882-03cf08410beb
ACTION SNIPPET 1200 277 SNIPPET_RELEVANT cbce2be4-01f0-11e4-b8ff-89afd3fad6bd
ACTION DOC 1200 297 EXAMINING_DOCUMENT cbce2be4-01f0-11e4-b8ff-89afd3fad6bd
ACTION MARK 1200 300 CONSIDERED_RELEVANT cbce2be4-01f0-11e4-b8ff-89afd3fad6bd
ACTION QUERY 1200 310 mortality bacterial infections
ACTION SERP 1200 315 EXAMINE_SERP
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY ba09cd4a-162b-11e6-9e16-2e5a123aac62
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 1d6f600e-8a60-11e6-b24f-a7f89eb68887
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 9d78bc26-aad1-11e3-98f6-8e3c562f9996
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY e61570ac-26d6-11e3-b75d-5b7f66349852
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT fba50218-62d2-11e5-8e9e-dce8a2a2a679
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 0cb439142ab18761bc81b6dfad90ae85
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 9e8546d8-6a1f-11e1-b756-60ee4e23a039
ACTION SNIPPET 1200 315 SEEN_PREVIOUSLY 013613f4-29e5-11e2-bab2-eda299503684
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 7216a8dd09ee73b5aa1216f04507486d
ACTION DOC 1200 335 EXAMINING_DOCUMENT 7216a8dd09ee73b5aa1216f04507486d
