ACTION START 1200 0 START
ACTION QUERY 1200 10 Sony cyberattack group
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 15 SNIPPET_NOT_RELEVANT 517fc5a939679c190f17951c47862573
ACTION SNIPPET 1200 15 SNIPPET_RELEVANT 56dbef5d663082005716ca2cbadb0204
ACTION DOC 1200 35 EXAMINING_DOCUMENT 56dbef5d663082005716ca2cbadb0204
ACTION MARK 1200 38 CONSIDERED_RELEVANT 56dbef5d663082005716ca2cbadb0204
ACTION SNIPPET 1200 38 SNIPPET_RELEVANT 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION DOC 1200 58 EXAMINING_DOCUMENT 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION MARK 1200 61 CONSIDERED_RELEVANT 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT e062ae78-8ddb-11e4-ace9-47de1af4c3eb
ACTION SNIPPET 1200 61 SNIPPET_NOT_RELEVANT 16118444aee0b5ac24110ee4f5aabd9c
ACTION SNIPPET 1200 61 SNIPPET_RELEVANT 8329da9e-7a65-11e4-b821-503cc7efed9e
ACTION DOC 1200 81 EXAMINING_DOCUMENT 8329da9e-7a65-11e4-b821-503cc7efed9e
ACTION MARK 1200 84 CONSIDERED_RELEVANT 8329da9e-7a65-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 911c5418-1bac-4307-9119-32adac212568
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 1886d3e8-87a5-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 84 SNIPPET_RELEVANT fc3aec60-8790-11e4-a702-fa31ff4ae98e
ACTION DOC 1200 104 EXAMINING_DOCUMENT fc3aec60-8790-11e4-a702-fa31ff4ae98e
ACTION MARK 1200 107 CONSIDERED_RELEVANT fc3aec60-8790-11e4-a702-fa31ff4ae98e
ACTION SNIPPET 1200 107 SNIPPET_RELEVANT cd940836-7f18-11e4-81fd-8c4814dfa9d7
ACTION DOC 1200 127 EXAMINING_DOCUMENT cd940836-7f18-11e4-81fd-8c4814dfa9d7
ACTION MARK 1200 130 CONSIDERED_RELEVANT cd940836-7f18-11e4-81fd-8c4814dfa9d7
ACTION QUERY 1200 140 Sony hack responsible
ACTION SERP 1200 145 EXAMINE_SERP
ACTION SNIPPET 1200 145 SEEN_PREVIOUSLY 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 145 SNIPPET_RELEVANT 43e9f3f12982c0e0bb15ad64b33a89c0
ACTION DOC 1200 165 EXAMINING_DOCUMENT 43e9f3f12982c0e0bb15ad64b33a89c0
ACTION MARK 1200 168 CONSIDERED_RELEVANT 43e9f3f12982c0e0bb15ad64b33a89c0
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 05c1aebb849b6fe51b21d471b4415fbf
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 508d6991-c242-419c-b71c-59a3d1173766
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 01eb8324-86ea-11e4-b9b7-b8632ae73d25
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT f8d2a6d1ae476c1e1fcbd2643f275a0d
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 60762119e4f80856b1dff68440bcf0fa
ACTION SNIPPET 1200 168 SNIPPET_RELEVANT 679185d4-9a63-11e4-96cc-e858eba91ced
ACTION DOC 1200 188 EXAMINING_DOCUMENT 679185d4-9a63-11e4-96cc-e858eba91ced
ACTION MARK 1200 191 CONSIDERED_RELEVANT 679185d4-9a63-11e4-96cc-e858eba91ced
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 4e9f870b7fa00e3349c7513b10b68246
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 84f35ac8529c07fef1ab4ec2d1669305
ACTION SNIPPET 1200 191 SNIPPET_NOT_RELEVANT 4ee536bda72399e59ca2d77a2f4f2ada
ACTION SNIPPET 1200 191 SNIPPET_RELEVANT 9e7a016e-8539-11e4-9534-f79a23c40e6c
ACTION DOC 1200 211 EXAMINING_DOCUMENT 9e7a016e-8539-11e4-9534-f79a23c40e6c
ACTION MARK 1200 214 CONSIDERED_RELEVANT 9e7a016e-8539-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 2bf6b763f1fa8f5b55e1003c4ec1d6d9
ACTION SNIPPET 1200 214 SNIPPET_NOT_RELEVANT 9a330a9cf04ce32ef4abc9c6b0a35a94
ACTION SNIPPET 1200 214 SNIPPET_RELEVANT dd1bdb2a-8608-11e4-9534-f79a23c40e6c
ACTION DOC 1200 234 EXAMINING_DOCUMENT dd1bdb2a-8608-11e4-9534-f79a23c40e6c
ACTION MARK 1200 237 CONSIDERED_RELEVANT dd1bdb2a-8608-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 237 SEEN_PREVIOUSLY fc3aec60-8790-11e4-a702-fa31ff4ae98e
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 55ad7d26-8c87-11e4-a085-34e9b9f09a58
ACTION SNIPPET 1200 237 SNIPPET_NOT_RELEVANT 222117a9e028a29ccb5ac43019781c0f
ACTION SNIPPET 1200 237 SNIPPET_RELEVANT ce667980-969a-11e4-8005-1924ede3e54a
ACTION DOC 1200 257 EXAMINING_DOCUMENT ce667980-969a-11e4-8005-1924ede3e54a
ACTION MARK 1200 260 CONSIDERED_RELEVANT ce667980-969a-11e4-8005-1924ede3e54a
ACTION QUERY 1200 270 Sony Pictures attackers
ACTION SERP 1200 275 EXAMINE_SERP
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 508d6991-c242-419c-b71c-59a3d1173766
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 222117a9e028a29ccb5ac43019781c0f
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 1c224df47cae21cbf7b1ab6233da65bb
ACTION SNIPPET 1200 275 SEEN_PREVIOUSLY 56dbef5d663082005716ca2cbadb0204
ACTION SNIPPET 1200 275 SNIPPET_NOT_RELEVANT 566ce6354f7f9e444168abbcf274e16f
ACTION SNIPPET 1200 275 SNIPPET_RELEVANT e7f7f8cb1cf8aeda9a8de32554292348
ACTION DOC 1200 295 EXAMINING_DOCUMENT e7f7f8cb1cf8aeda9a8de32554292348
ACTION MARK 1200 298 CONSIDERED_RELEVANT e7f7f8cb1cf8aeda9a8de32554292348
ACTION SNIPPET 1200 298 SNIPPET_NOT_RELEVANT bcefea0516392741c33500e686de16c7
ACTION SNIPPET 1200 298 SNIPPET_NOT_RELEVANT 05c1aebb849b6fe51b21d471b4415fbf
ACTION SNIPPET 1200 298 SNIPPET_NOT_RELEVANT de9f0510-e451-11e4-81ea-0649268f729e
ACTION SNIPPET 1200 298 SNIPPET_RELEVANT de8adc2ef1ec61ab0f9c0da9b2e71b3a
ACTION DOC 1200 318 EXAMINING_DOCUMENT de8adc2ef1ec61ab0f9c0da9b2e71b3a
ACTION MARK 1200 321 CONSIDERED_RELEVANT de8adc2ef1ec61ab0f9c0da9b2e71b3a
ACTION SNIPPET 1200 321 SNIPPET_RELEVANT 891970d8-8878-11e4-9534-f79a23c40e6c
ACTION DOC 1200 341 EXAMINING_DOCUMENT 891970d8-8878-11e4-9534-f79a23c40e6c
ACTION MARK 1200 344 CONSIDERED_RELEVANT 891970d8-8878-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 344 SNIPPET_NOT_RELEVANT 464944fe7e9a4c2f2f3e71f2cef4c449
ACTION SNIPPET 1200 344 SNIPPET_RELEVANT f72bb9629b4b8f1650e026cc49155767
ACTION DOC 1200 364 EXAMINING_DOCUMENT f72bb9629b4b8f1650e026cc49155767
ACTION MARK 1200 367 CONSIDERED_RELEVANT f72bb9629b4b8f1650e026cc49155767
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 1886d3e8-87a5-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT ab851250bd1edb5e23b4c25952680fdc
ACTION SNIPPET 1200 367 SNIPPET_NOT_RELEVANT 6513cf120863abe12b2802da95a2d0eb
ACTION SNIPPET 1200 367 SNIPPET_RELEVANT a8db71819a9b24606632d021137f1d90
ACTION DOC 1200 387 EXAMINING_DOCUMENT a8db71819a9b24606632d021137f1d90
ACTION MARK 1200 390 CONSIDERED_RELEVANT a8db71819a9b24606632d021137f1d90
ACTION QUERY 1200 400 Cyberattack Sony 2014
ACTION SERP 1200 405 EXAMINE_SERP
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT e062ae78-8ddb-11e4-ace9-47de1af4c3eb
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 6c3c7e3e-7b25-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 911c5418-1bac-4307-9119-32adac212568
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 517fc5a939679c190f17951c47862573
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 56dbef5d663082005716ca2cbadb0204
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 891970d8-8878-11e4-9534-f79a23c40e6c
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 5fdbf64f910a3b852b6d9be46bacd47d
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT bbf79e3fb1b2f37ed3b4782cbdb7cce9
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 9e84856e-8488-11e4-b9b7-b8632ae73d25
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY 8329da9e-7a65-11e4-b821-503cc7efed9e
ACTION SNIPPET 1200 405 SEEN_PREVIOUSLY fc3aec60-8790-11e4-a702-fa31ff4ae98e
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 1886d3e8-87a5-11e4-9534-f79a23c40e6c
